Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
1613_carta-amigo	Aristóteles	authority		1613	un amigo de don Luis de Góngora					
1613_carta-amigo	Virgilio	authority		1613	un amigo de don Luis de Góngora			4	citations	
1613_carta-amigo	Aristóteles	authority		1613	un amigo de don Luis de Góngora					
1613_carta-amigo	Homero	authority		1613	un amigo de don Luis de Góngora					
1613_carta-amigo	Virgilio	authority		1613	un amigo de don Luis de Góngora					
1613_carta-amigo	Lucano	authority		1613	un amigo de don Luis de Góngora					
1613_carta-amigo	Virgilio	authority		1613	un amigo de don Luis de Góngora			4	citations	5
1613_carta-amigo	Marcial	authority		1613	un amigo de don Luis de Góngora					
1613_carta-amigo	Horacio	authority		1613	un amigo de don Luis de Góngora			cité	citations	2
1613_carta-amigo	Quintiliano	authority		1613	un amigo de don Luis de Góngora			cité	citations	1
1613_carta-amigo	Horacio	authority		1613	un amigo de don Luis de Góngora					
1613_carta-amigo	Escalígero	authority		1613	un amigo de don Luis de Góngora					
1613_carta-amigo	Horacio	authority		1613	un amigo de don Luis de Góngora			cité	citations	1
1613_carta-amigo	Horacio	authority		1613	un amigo de don Luis de Góngora			cité	citations	1
