Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
1614_parecer	Virgilio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Propercio	authority		1614	Francisco Fernández de Córdoba					
1614_parecer	Estacio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Lucano	authority		1614	Francisco Fernández de Córdoba			cité		
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
1614_parecer	Lucano	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Ovidio	authority		1614	Francisco Fernández de Córdoba			4	quote	2
1614_parecer	San Pablo	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
1614_parecer	Epiménides cretense	authority		1614	Francisco Fernández de Córdoba			cité		
1614_parecer	Plauto	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Ovidio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	de la Cerda, Juan Luis	authority		1614	Francisco Fernández de Córdoba			mentionné et cité	
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Cicerón	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Aulo Gelio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Conrado Licóstenes	authority		1614	Francisco Fernández de Córdoba			mentionné et cité	
1614_parecer	Teócrito	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Policiano	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Catulo	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
1614_parecer	Aristóteles	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Quintiliano	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Diómedes	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Tasso, Torcuato	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Minturno, Antonio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Escalígero	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Luisio, Francisco	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba			mentionné et cité	quote	1
1614_parecer	Tasso, Torcuato	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Vida, Marco Girolamo	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Aristóteles	authority		1614	Francisco Fernández de Córdoba			4	quote	3
1614_parecer	Quintiliano	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer1614_parecer	Virgilio	authority		1614	Francisco Fernández de Córdoba			mentionné	quote	1
1614_parecer	Tasso, Torcuato	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Aristóteles	authority		1614	Francisco Fernández de Córdoba			cité		
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Luciano de Samosata	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	San Jerónimo	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Terencio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Máximo de Tiro	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Celio Firmiano Simposio	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
1614_parecer	Ovidio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Heráclito	authority		1614	Francisco Fernández de Córdoba			cité		
1614_parecer	Cicerón	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Plauto	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Aristóteles	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
1614_parecer	Persio	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
1614_parecer	Cicerón	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Quintiliano	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Plauto	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Vida, Marco Girolamo	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
1614_parecer	Eliano	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
1614_parecer	Tasso, Torcuato	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
1614_parecer	Quintiliano	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
1614_parecer	Cicerón	authority		1614	Francisco Fernández de Córdoba			4	quote	1
1614_parecer	Aristóteles	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
1614_parecer	Escalígero	authority		1614	Francisco Fernández de Córdoba			mentionné et cité		
