Id	Label	type	date
1624_discurso-poetico		text	1624
Horacio	Horacio	authority	
Quintiliano	Quintiliano	authority	
Aulo Gelio	Aulo Gelio	authority	
Demetrio Falereo	Demetrio Falereo	authority	
Teofrasto	Teofrasto	authority	
Victorio, Pedro	Victorio, Pedro	authority	
Cicerón	Cicerón	authority	
Séneca	Séneca	authority	
Virgilio	Virgilio	authority	
Estacio	Estacio	authority	
Petronio	Petronio	authority	
Aristóteles	Aristóteles	authority	
Homero	Homero	authority	
Plutarco	Plutarco	authority	
Lucilio	Lucilio	authority	
Ateneo	Ateneo	authority	
Ovidio	Ovidio	authority	
Manilio, Marco	Manilio, Marco	authority	
Laberio	Laberio	authority	
Macrobio	Macrobio	authority	
Lucrecio	Lucrecio	authority	
Julio César	Julio César	authority	
Salustio	Salustio	authority	
Tuberón	Tuberón	authority	
Juvencio Celso	Juvencio Celso	authority	
Demetrio	Demetrio	authority	
Vida, Girolamo	Vida, Girolamo	authority	
Tasso, Torquato	Tasso, Torquato	authority	
Garcilaso	Garcilaso	authority	
Safo	Safo	authority	
Nigidio	Nigidio	authority	
Varrón	Varrón	authority	
Ramírez de Prado, Lorenzo	Ramírez de Prado, Lorenzo	authority	
Corina	Corina	authority	
Ennio	Ennio	authority	
Plinio	Plinio	authority	
Luciano	Luciano	authority	
Escalígero	Escalígero	authority	
san Gregorio Nacianceno	san Gregorio Nacianceno	authority	
Marcial	Marcial	authority	
Persio	Persio	authority	
Focílides	Focílides	authority	
el autor a Herenio	el autor a Herenio	authority	
Peregrino filósofo	Aulo Gelio	authority
Boccaccio	Boccaccio	authority	
Tito Livio	Tito Livio	authority	
San Agustín	San Agustín	authority	
Arato de Solos	Arato de Solos	authority	
Santo Tomás	Santo Tomás	authority	
Florencia, Jerónimo de	Florencia, Jerónimo de	authority	
