Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
1630_vida-mayor	Séneca	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Lucano	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Mena, Juan de	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Homero	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Hesíodo	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Sidonio Apolinar	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Marcial	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Paravicino, fray Hortensio Félix	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Virgilio	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Claudiano	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Horacio	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Eurípides	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Calímaco	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Apolonio Rodio	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Nono de Panópolis	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Quinto Calabro	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Homero	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Museo	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Aristéneto de Nicea	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Dión Crisóstomo	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Anacreonte de Teos	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Heliodoro	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Aquiles Tacio	authority		1630	Pellicer y Tovar, José			mentionné et cité		
1630_vida-mayor	Homero	authority		1630	Pellicer y Tovar, José			mentionné et cité	
