Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
1636_compendio-poetico	Homero	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Virgilio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Horacio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Píndaro	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Persio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Juvenal	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Marcial	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Catulo	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Plauto	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Terencio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Lucano	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Séneca	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Quintiliano	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Cicerón	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Castro, Francisco de	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Séneca	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Quintiliano	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Suárez, Cipriano	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Lipsio, Justo	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Quintiliano	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Persio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Marcial	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Virgilio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	López, Diego	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Marcial	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Lucano	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Plauto	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Séneca	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Céspedes, Baltasar de	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Roa, Martín de	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Anacreonte	authority		1636	Villar, Francisco del					
1636_compendio-poetico	López, Diego	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Zwinger, Theodor	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Ennio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Rodiginio, Celio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Rader, Matthäus	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Marcial	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Quintiliano	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Virgilio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Cerda, Juan Luis de la	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Virgilio	authority		1636	Villar, Francisco del					
1636_compendio-poetico	Virgilio	authority		1636	Villar, Francisco del					
