Id	Label	type	date
1639_lusiadas	1639_lusiadas	text	1639
Laguna, Andrés	Laguna, Andrés	authority	
Tasis y Peralta, Juan de	Tasis y Peralta, Juan de	authority	
Roiz Lobo, Francisco	Roiz Lobo, Francisco	authority	
Cicerón	Cicerón	authority	
Barros, João de	Barros, João de	authority	
Laguna, Andrés de	Laguna, Andrés de	authority	
Camões	Camões	authority	
Sannazaro	Sannazaro	authority	
Vega, Lope de	Vega, Lope de	authority	
Virgilio	Virgilio	authority	
Homero	Homero	authority	
Herrera, Fernando de	Herrera, Fernando de	authority	
Estacio	Estacio	authority	
Dante	Dante	authority	
Lucrecio	Lucrecio	authority	
Tasso, Torquato	Tasso, Torquato	authority	
Valeriano, Piero	Valeriano, Piero	authority	
Propercio	Propercio	authority	
Platón	Platón	authority	
Petrarca	Petrarca	authority	
Ariosto, Ludovico	Ariosto, Ludovico	authority	
Garcilaso	Garcilaso	authority	
Mena, Juan de	Mena, Juan de	authority	
Boscán	Boscán	authority	
Gómez Manrique, Diego	Gómez Manrique, Diego	authority	
Macrobio	Macrobio	authority	
Marcial	Marcial	authority	
Aracne	Aracne	authority	
Palas	Palas	authority	
Marsias	Marsias	authority	
Apolo	Apolo	authority	
Ovidio	Ovidio	authority	
Horacio	Horacio	authority	
Montemayor, Jorge de	Montemayor, Jorge de	authority	
López Pinciano, Alonso	López Pinciano, Alonso	authority	
