Id	Label	type	date
1660_apologetico	1660_apologetico	text	1660
Gregorio Nacianceno	Gregorio Nacianceno	authority	
san Basilio	san Basilio	authority	
Teodoreto	Teodoreto	authority	
san Jerónimo	san Jerónimo	authority	
Virgilio	Virgilio	authority	
Séneca	Séneca	authority	
Claudiano	Claudiano	authority	
Marcial	Marcial	authority	
santo Tomás	santo Tomás	authority	
Alciato	Alciato	authority	
Cognato, Gilberto	Cognato, Gilberto	authority	
Melanctón	Melanctón	authority	
Erasmo	Erasmo	authority	
Vatablo	Vatablo	authority	
Escalígero	Escalígero	authority	
ValLa, Laurencio	ValLa, Laurencio	authority	
Vives, Luis	Vives, Luis	authority	
san Isidoro	san Isidoro	authority	
Loayza, García de	Loayza, García de	authority	
Camões	Camões	authority	
Cicerón	Cicerón	authority	
Aristóteles	Aristóteles	authority	
Platón	Platón	authority	
Aristarco	Aristarco	authority	
Calcentero	Calcentero	authority	
Dídimo el ciego	Dídimo el ciego	authority	
Tibulo	Tibulo	authority	
apóstol Pablo	apóstol Pablo	authority	
Quintiliano	Quintiliano	authority	
Horacio	Horacio	authority	
Cerda, Juan Luis de la	Cerda, Juan Luis de la	authority	
Cocayo, Merlín	Cocayo, Merlín	authority	
Lodola, Aquario	Lodola, Aquario	authority	
Columna, Gerónimo	Columna, Gerónimo	authority	
Sabino, Georgio	Sabino, Georgio	authority	
Tertuliano	Tertuliano	authority	
Hadriano Junio	Hadriano Junio	authority	
Dante	Dante	authority	
Petrarca	Petrarca	authority	
sannazaro	sannazaro	authority	
Ariosto	Ariosto	authority	
Tasso	Tasso	authority	
Garcilaso	Garcilaso	authority	
Herrera, Fernando de	Herrera, Fernando de	authority	
Servio	Servio	authority	
Varrón	Varrón	authority	
Ovidio	Ovidio	authority	
Pacuvio	Pacuvio	authority	
Pinciano, Alonso López	Pinciano, Alonso López	authority	
Lucrecio	Lucrecio	authority	
Morales, Ambrosio de	Morales, Ambrosio de	authority	
Homero	Homero	authority	
Mena, Juan de	Mena, Juan de	authority	
Boscán	Boscán	authority	
Gómez Manrique	Gómez Manrique	authority	
Paravicino, fray Hortensio Félix	Paravicino, fray Hortensio Félix	authority	
Mena,Juan de	Mena,Juan de	authority	
Oña, Pedro de	Oña, Pedro de	authority	
Plinio el menor	Plinio el menor	authority	
Barahona de Soto, Luis	Barahona de Soto, Luis	authority	
Silvestre, Gregorio	Silvestre, Gregorio	authority	
Gómez de Ciudad Real, Alvar	Gómez de Ciudad Real, Alvar	authority	
Cervantes, Miguel de	Cervantes, Miguel de	authority	
Apuleyo	Apuleyo	authority	
Mureto, Marco Antonio	Mureto, Marco Antonio	authority	
san Cipriano	san Cipriano	authority	
Cornelio Tácito	Cornelio Tácito	authority	
Plinio el Mayor	Plinio el Mayor	authority	
Nebrija, Antonio de	Nebrija, Antonio de	authority	
Macrobio	Macrobio	authority	
Ariphades	Ariphades	authority	
López Pinciano, Alonso	López Pinciano, Alonso	authority	
Argensola, Bartolomé Leonardo de	Argensola, Bartolomé Leonardo de	authority	
Gracián, Juan	Gracián, Juan	authority	
Turnebe, Adrien	Turnebe, Adrien	authority	
Ascensio	Ascensio	authority	
san Juan Crisóstomo	san Juan Crisóstomo	authority	
Lelio Tifernate	Lelio Tifernate	authority	
Tales	Tales	authority	
Molina, Luis de	Molina, Luis de	authority	
Lucano	Lucano	authority	
Beroaldo, Filipo	Beroaldo, Filipo	authority	
Píndaro	Píndaro	authority	
Plauto	Plauto	authority	
Menandro	Menandro	authority	
Mahoma	Mahoma	authority	
Donato	Donato	authority	
Ronsard	Ronsard	authority	
Teócrito	Teócrito	authority	
Salustio	Salustio	authority	
Corte-Real, Jerónimo de	Corte-Real, Jerónimo de	authority	
Valdivieso	Valdivieso	authority	
Boiardo, Matteo Maria	Boiardo, Matteo Maria	authority	
Montemayor, Jorge de	Montemayor, Jorge de	authority	
Marino, Giambattista	Marino, Giambattista	authority	
Tasso, Torquato	Tasso, Torquato	authority	
Vega, Lope de	Vega, Lope de	authority	
Verderio, Antonio	Verderio, Antonio	authority	
Pedro Aretino	Pedro Aretino	authority	
Ezequiel, profeta	Ezequiel, profeta	authority	
san Mateo	san Mateo	authority	
Corte-Real, Jerónimo	Corte-Real, Jerónimo	authority		
Estacio	Estacio	authority	
