Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate
1624_discurso-poetico	OC264B	ref		1624	Jáuregui, Juan de	Era del año la estación florida [Soledad Primera]	1613
1624_discurso-poetico	OC777	ref		1624	Jáuregui, Juan de	Era del año la estación florida [Soledad Primera]	1613
1624_discurso-poetico	OC848	ref		1624	Jáuregui, Juan de	Era del año la estación florida [Soledad Primera]	1613
1624_discurso-poetico	OC255	ref		1624	Jáuregui, Juan de	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1624_discurso-poetico	OC480	ref		1624	Jáuregui, Juan de	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1624_discurso-poetico	OC264B	ref		1624	Jáuregui, Juan de	Era del año la estación florida [Soledad Primera]	1613
1624_discurso-poetico	OC233	ref		1624	Jáuregui, Juan de	Este, que Babia al mundo hoy ha ofrecido	1611
1624_discurso-poetico	OC463	ref		1624	Jáuregui, Juan de	Patos de la aguachirle castellana,	ant. a 1622
1624_discurso-poetico	OC283	ref		1624	Jáuregui, Juan de	Al pie de un álamo negro,	1614
1624_discurso-poetico	OC462	ref		1624	Jáuregui, Juan de	Doce sermones estampó Florencia,	¿1621?
