Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate
1630_vida-mayor	OC424	ref		1630	Pellicer y Tovar, José	Huésped, sacro señor, no: peregrino	1593
1630_vida-mayor	OC101	ref		1630	Pellicer y Tovar, José	Muerto me lloró el Tormes en su orilla	1594
1630_vida-mayor	OC288	ref		1630	Pellicer y Tovar, José	Pisó las calles de Madrid el fiero	1615
1630_vida-mayor	OC449	ref		1630	Pellicer y Tovar, José	Con poca luz y menos disciplina,	¿1613?
1630_vida-mayor	OC290	ref		1630	Pellicer y Tovar, José	Restituye a tu mudo horror divino,	1615
1630_vida-mayor	OC202	ref		1630	Pellicer y Tovar, José	Mal haya el que en señores idolatra	1609
1630_vida-mayor	OC334	ref		1630	Pellicer y Tovar, José	Dulce arroyuelo de la nieve fría	1620
1630_vida-mayor	OC335	ref		1630	Pellicer y Tovar, José	Peinaba al sol Belisa sus cabellos	1620
1630_vida-mayor	OC388	ref		1630	Pellicer y Tovar, José	En este occidental, en este, oh Licio,	1623
1630_vida-mayor	OC249	ref		1630	Pellicer y Tovar, José	Cloris, el más bello grano	1611
1630_vida-mayor	OC264C	ref		1630	Pellicer y Tovar, José	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1630_vida-mayor	OC202	ref		1630	Pellicer y Tovar, José	Mal haya el que en señores idolatra	1609
