Id	Label	type	date
1630_vida-mayor	1630_vida-mayor	text1630	1630
OC424	Huésped, sacro señor, no: peregrino	ref	1593
OC101	Muerto me lloró el Tormes en su orilla	ref	1594
OC288	Pisó las calles de Madrid el fiero	ref	1615
OC449	Con poca luz y menos disciplina,	ref	¿1613?
OC290	Restituye a tu mudo horror divino,	ref	1615
OC202	Mal haya el que en señores idolatra	ref	1609
OC334	Dulce arroyuelo de la nieve fría	ref	1620
OC335	Peinaba al sol Belisa sus cabellos	ref	1620
OC388	En este occidental, en este, oh Licio,	ref	1623
OC249	Cloris, el más bello grano	ref	1611
OC264C	Éntrase el mar por un arroyo breve [Soledad Segunda]	ref	1614
