Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate
1660_apologetico	OC255	ref	preliminar10	1661	Diego de Loaysa y Zárate	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264C	ref	preliminar11	1661	Bernabé Gascón Riquelme	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC264A	ref	preliminar11	1661	Bernabé Gascón Riquelme	Pasos de un peregrino son, errante [Dedicatoria Soledades]	1613
1660_apologetico	OC313	ref	preliminar15	1661	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617
1660_apologetico	OC264A	ref	preliminar15	1661	Juan de Espinosa Medrano	Pasos de un peregrino son, errante [Dedicatoria Soledades]	1613
1660_apologetico	OC313	ref	preliminar15	1661	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617
1660_apologetico	OC264C	ref	preliminar15	1661	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC264C	ref	preliminar15	1661	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC255	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264B	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
