Id	Label	type	date
OC419	Por el nombre me da pena	ref	¿Ca. 1580?
OC420	Cisne gentil (después que crespo el vado	ref	¿1582?
OC421	Generoso don Juan, sobre quien llueve	ref	¿1582?
OC422	¿Qué es, hombre o mujer, lo que han colgado?	ref	¿1587-1588?
OC423	Ya que rompí las cadenas	ref	¿1590?
OC424	Huésped, sacro señor, no: peregrino	ref	1593
OC425	Señora doña Luisa de Cardona,	ref	ant. a 1594
OC426	Señor marqués trinitario,	ref	Post. a 1597
OC427	Señor, aquel Dragón de inglés veneno,	ref	1598
OC428	Por tu vida, Lopillo, que me borres	ref	¿1598?
OC429	Hecha la entrada, y sueltos los leones,	ref	¿1598?
OC430		ref	
OC431	Cantemos a la jineta,	ref	¿1603?
OC432	Musa que sopla y no inspira,	ref	Post. a 1603
OC433	Yace debajo de esta piedra fría	ref	ant. a 1604
OC434	Entre el chantre y el deán,	ref	1604
OC435	En una fortaleza preso queda	ref	1606
OC436	Senteme a las riberas de un bufete	ref	1606
OC437	Detente, buen mensajero,	ref	1607
OC438	Erase en Cuenca lo que nunca fuera,	ref	¿1609?
OC439	Pálido sol en cielo encapotado,	ref	¿1609?
OC440	Vimo, señora Lopa, su epopeia,	ref	1609
OC441	Lugar te da sublime el vulgo ciego,	ref	¿1609?
OC442	Anacreonte español, no hay quien os tope,	ref	¿1609?
OC443	¿Yo en justa injusta expuesto a la sentencia	ref	¿1609?
OC444	Aquí yace un capellán	ref	1610
OC445	Que pretenda el mercader	ref	1610
OC446	Tenga yo salud,	ref	ant. a 1611
OC447	Arroyo, ¿en qué ha de parar	ref	¿1612?
OC448	No más moralidades de corrientes,	ref	¿1612?
OC449	Con poca luz y menos disciplina,	ref	¿1613?
OC450	Pare en este mármol frío,	ref	Post. a 1613
OC451	Murió Simón, en efeto,	ref	1614
OC452	Del que ya ilustró el Carmelo	ref	1614
OC453	Por la estafeta he sabido	ref	1615
OC453A	Los edictos con imperio	ref	1594-1604
OC454	Alma mil veces dichosa	ref	ant. a 1616
OC455	Dicho me han por una carta	ref	Post. a 1616
OC456	Antes que alguna caja luterana	ref	¿ant. a 1617?
OC457	Cierto opositor, si no	ref	1617
OC458	No sois, aunque en edad de cuatro sietes,	ref	¿Post. a 1617?
OC459	En vuestras manos ya creo	ref	Post. a 1617
OC460	Cierto poeta, en forma peregrina	ref	¿1618?
OC461	Vences, en talento cano,	ref	1618
OC462	Doce sermones estampó Florencia,	ref	¿1621?
OC463	Patos de la aguachirle castellana,	ref	ant. a 1622
OC464	«¡Aquí del conde Claros!», dijo, y luego	ref	ant. a 1622
OC465	¿Quién pudo a tanto tormento	ref	1622
OC466	Quedando con tal peso en la cabeza,	ref	¿1623?
OC466bis	De las ya fiestas reales	ref	¿?
OC467	Si de consuelo está necesitado	ref	ant. a 1624
OC468	Es el Orfeo del señor don Juan	ref	1624
OC469	El más insigne varón	ref	1624
OC470	No de la sangre de la diosa bella	ref	¿?
OC471	Donde con labio alterno el Eritreo	ref	¿?
OC472	Tan ciruelo a san Fulano	ref	¿?
OC473	Hágasme tantas mercedes,	ref	¿?
OC474	Valeroso el de las quinas,	ref	¿?
OC475	Señora la siempre niña,	ref	¿?
OC476A	Oh, tú, que pendiente al hombro,	ref	¿?
OC476B	Oh, tú, que pendiente al hombro,	ref	¿?
OC477	Si orator nostro meruisset tempore Graius,	ref	¿?
