Id	Label	type	date
OC1	Suene la trompa bélica	ref	1580
OC2	La más bella niña	ref	1580
OC3	Los rayos le cuenta al sol	ref	1580
OC4	Ciego que apuntas y atinas	ref	1580
OC5	Hermana Marica	ref	1580
OC6	Que pida a un galán Minguilla	ref	1581
OC7	Ándeme yo caliente	ref	1581
OC8	Da bienes Fortuna	ref	1581
OC9	Las redes sobre el arena	ref	1581
OC10	En el caudaloso río	ref	1581
OC11	Érase una vieja	ref	1581
OC12	Sobre dos urnas de cristal labradas	ref	1582
OC13	De pura honestidad templo sagrado	ref	1582
OC14	Tras la bermeja Aurora el Sol dorado	ref	1582
OC15	Al tramontar del sol la ninfa mía	ref	1582
OC16	Oh claro honor del líquido elemento	ref	1582
OC17	Raya, dorado Sol, orna y colora	ref	1582
OC18	Cual parece al romper de la mañana	ref	1582
OC19	Suspiros tristes, lágrimas cansadas	ref	1582
OC20	Ya besando unas manos cristalinas	ref	1582
OC21	Oh piadosa pared, merecedora	ref	1582
OC22	Rey de los otros, río caudaloso	ref	1582
OC23	¡Oh niebla del estado más sereno	ref	1582
OC24	Mientras por competir con tu cabello	ref	1582
OC25	Corcilla temerosa	ref	1582
OC26	Que se nos va la pascua, mozas	ref	1582
OC27	En la pedregosa orilla	ref	1582
OC28	Diez años vivió Belerma	ref	1582
OC29	Fragoso monte, en cuyo vasto seno	ref	1583
OC30	Ya que con más regalo el campo mira	ref	1583
OC31	Verdes hermanas del audaz mozuelo	ref	1583
OC32	Ni en este monte, este aire, ni este río	ref	1583
OC33	Cuál del Ganges marfil, o cuál de Paro	ref	1583
OC34	Culto jurado, si mi bella dama	ref	1583
OC35	Ilustre y hermosísima María	ref	1583
OC36	Manda Amor en su fatiga	ref	1583
OC37	Amarrado al duro banco	ref	1583
OC38	La desgracia del forzado	ref	1583
OC39	Cantastes, Rufo, tan heroicamente	ref	1584
OC40	Con diferencia tal, con gracia tanta	ref	1584
OC41	La dulce boca que a gustar convida	ref	1584
OC42	No destrozada nave en roca dura	ref	1584
OC43	Varia imaginación, que en mil intentos	ref	1584
OC44	No enfrene tu gallardo pensamiento	ref	1584
OC45	Gallardas plantas, que con voz doliente	ref	1584
OC46	Del color noble que a la piel vellosa	ref	1584
OC47	Aquí entre la verde juncia	ref	1584
OC48	Noble desengaño	ref	1584
OC49	Aquel rayo de la guerra	ref	1584
OC50	¡Oh excelso muro, oh torres coronadas	ref	1585
OC51	Tres veces de Aquilón el soplo airado	ref	1585
OC52	Sacra planta de Alcides, cuya rama	ref	1585
OC53	Aunque a rocas de fe ligada vea	ref	1585
OC54	Si las damas de la corte	ref	1585
OC55	Si en todo lo qu’hago	ref	1585
OC56	Entre los sueltos caballos	ref	1585
OC57	Crïábase el Albanés	ref	1585
OC58	Ensíllenme el asno rucio	ref	1585
OC59	Escuchadme un rato atentos	ref	1585
OC60	Deste más que la nieve blanco toro	ref	1586
OC61	Levantando blanca espuma	ref	1586
OC62	Ilustre ciudad famosa	ref	1586
OC63	Triste pisa, y afligido	ref	1586
OC64	Servía en Orán al rey	ref	1587
OC65	Hanme dicho, hermanas	ref	1587
OC66	No bronces, que caducan, mortal mano	ref	1588
OC67	Tú, cuyo ilustre entre una y otra almena	ref	1588
OC68	Por niñear, un picarillo tierno	ref	1588
OC69	Grandes, más que elefantes y que abadas	ref	1588
OC70	Téngoos, señora Tela, gran mancilla.	ref	1588
OC71	Duélete de esa puente, Manzanares	ref	1588
OC72	Levanta, España, tu famosa diestra	ref	1588
OC73	Ahora que estoy de espacio	ref	1588
OC74	Desde Sansueña a París	ref	1588
OC75	Pensó rendir la mozuela	ref	1588
OC76	Sacros, altos, dorados capiteles	ref	1589
OC77	Arrojóse el mancebito	ref	1589
OC78	Hoy es el sacro y venturoso día	ref	1590
OC79	Lloraba la niña	ref	1590
OC80	Famosos son, en las armas	ref	1590
OC81	Frescos airecillos	ref	1590
OC82	Dejad los libros ahora	ref	1590
OC83	Qué necio que era yo antaño	ref	1590
OC84	Si sus mercedes me escuchan	ref	1590
OC85	Ya, señoras de mi vida	ref	1591
OC86	Clavellina se llama la perra	ref	1591
OC87	Buena orina y buen color	ref	1591
OC88	A vos digo, señor Tajo	ref	1591
OC89	Castillo de San Cervantes	ref	1591
OC90	Tendiendo sus blancos paños	ref	1591
OC91	Ya no más, ceguezuelo hermano	ref	1592
OC92	Vuela, pensamiento, y diles	ref	1592
OC93	Árbol de cuyos ramos fortunados	ref	1593
OC94	Un buhonero ha empleado	ref	1593
OC95	Mandadero es el arquero	ref	1593
OC96	A toda ley, madre mía	ref	1593
OC97	No me bastaba el peligro	ref	1593
OC98	Murmuraban los rocines	ref	1593
OC99	Si ya la vista, de llorar cansada	ref	1594
OC100	Descaminado, enfermo, peregrino	ref	1594
OC101	Muerto me lloró el Tormes en su orilla	ref	1594
OC102	Cada uno estornuda	ref	1594
OC103	Moriste, ninfa bella	ref	1594
OC104	Herido el blanco pie del hierro breve	ref	1595
OC105	Ya de mi dulce instrumento	ref	1595
OC106	Sin Leda y sin esperanza	ref	1595
OC107	Cosas, Celalba mía, he visto extrañas	ref	1596
OC108	Cuantas al Duero le he negado ausente	ref	1596
OC109	Despuntado he mil agujas	ref	1596
OC110	Temo tanto los serenos	ref	1596
OC111	Quién es aquel caballero	ref	1597
OC112	Este monte de cruces coronado	ref	1598
OC113	Sea bien matizada la librea	ref	1598
OC114	Donde las altas ruedas	ref	1598
OC115	Las aguas de Carrïón	ref	1599
OC116	Pender de un leño, traspasado el pecho	ref	1600
OC117	Las tablas del bajel despedazadas	ref	1600
OC118	Yacen aquí los huesos sepultados	ref	1600
OC119	Qué de invidiosos montes levantados	ref	1600
OC120	No os diremos, como al Cid	ref	1600
OC121	Los dineros del sacristán	ref	1600
OC122	Allá darás, rayo	ref	1600
OC123	¿Por qué llora la Isabelitica? 	ref	1600
OC124	Sobre unas altas rocas	ref	1600
OC125	Dineros son calidad	ref	1601
OC126	En tanto que mis vacas	ref	1601
OC127	Verdes juncos del Duero a mi pastora	ref	1602
OC128	Vuelas, oh tortolilla	ref	1602
OC129	Cura que en la vecindad	ref	1602
OC130	Oh cuán bien que acusa Alcino	ref	1602
OC131	Según vuelan por el agua	ref	1602
OC132	En un pastoral albergue	ref	1602
OC133	De ríos, soy el Duero, acompañado	ref	1603
OC134	Ayer deidad humana, hoy poca tierra	ref	1603
OC135	Lilio siempre real nací en Medina	ref	1603
OC136	Clavar victorïoso y fatigado	ref	1603
OC137	Hermosas damas, si la pasión ciega	ref	1603
OC138	Si Amor entre las plumas de su nido	ref	1603
OC139	Llegué a Valladolid, registré luego	ref	1603
OC140	Jura Pisuerga, a fe de caballero	ref	1603
OC141	Oh qué malquisto con Esgueva quedo	ref	1603
OC142	¿Vos sois Valladolid? ¿Vos sois el valle	ref	1603
OC143	Valladolid, de lágrimas sois valle	ref	1603
OC144	"La plaza, un jardín fresco; los tablados"	ref	1603
OC145	Sobre trastes de guijas	ref	1603
OC146	Abra dorada llave	ref	1603
OC147	De un monte en los senos, donde	ref	1603
OC148	Una moza de Alcobendas	ref	1603
OC149	¿Qué lleva el señor Esgueva?	ref	1603
OC150	En dos lucientes estrellas	ref	1603
OC151	En los pinares de Júcar	ref	1603
OC152	Cuando la rosada Aurora	ref	1603
OC153	Trepan los gitanos	ref	1603
OC154	Del león, que en la Silva apenas cabe	ref	1604
OC155	Montaña inaccesible, opuesta en vano	ref	1604
OC156	De puños de hierro ayer	ref	1604
OC157	De Tisbe y Píramo quiero	ref	1604
OC158	Pensé, señor, que un rejón	ref	1605
OC159	Qué cantaremos ahora	ref	1605
OC160	A un tiempo dejaba el sol	ref	1605
OC161	Vencidas de los montes Marianos	ref	1605
OC162	Clarísimo marqués, dos veces claro	ref	1605
OC163	Velero bosque, de árboles poblado	ref	1605
OC164	Volvió al mar Alcïón, volvió a las redes	ref	1605
OC165	Verde el cabello undoso	ref	1605
OC166	Musas, si la pluma mía	ref	1605
OC167	Con la estafeta pasada	ref	1605
OC168	Oh tú, cualquiera que entras, peregrino	ref	1607
OC169	Alta esperanza, gloria del estado	ref	1607
OC170	Cisnes de Guadïana, a sus riberas	ref	1607
OC171	Deja el monte, garzón bello, no fíes	ref	1607
OC172	Corona de Ayamonte, honor del día	ref	1607
