Source	Target	mode	section	date	labelSource	labelTarget	PoemTitle	PoemDate	precision	unit	quantity
1614_parecer	Virgilio	authority		1614	Francisco Fernández de Córdoba	Virgilio			cité	quote	1
1614_parecer	Propercio	authority		1614	Francisco Fernández de Córdoba				cité	quote	1
1614_parecer	Estacio	authority		1614	Francisco Fernández de Córdoba	Estacio Papinio			cité	quote	1
1614_parecer	Lucano	authority		1614	Francisco Fernández de Córdoba	Lucano			mentionné de seconde main		
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba	Horacio			mentionné		
1614_parecer	Lucano	authority		1614	Francisco Fernández de Córdoba				cité	quote	1
1614_parecer	Ovidio	authority		1614	Francisco Fernández de Córdoba				cité	quote	2
1614_parecer	San Pablo	authority		1614	Francisco Fernández de Córdoba	San Pablo			mentionné		
1614_parecer	Epiménides cretense	authority		1614	Francisco Fernández de Córdoba	Epiménides cretense			mentionné de seconde main		
1614_parecer	Plauto	authority		1614	Francisco Fernández de Córdoba				cité	quote	1
1614_parecer	Ovidio	authority		1614	Francisco Fernández de Córdoba				cité	quote	1
1614_parecer	Cerda, Juan Luis de la	authority		1614	Francisco Fernández de Córdoba	Juan Luis de la Cerda			mentionné		
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba				cité	quote	1
1614_parecer	Cicerón	authority		1614	Francisco Fernández de Córdoba				cité	quote	1
1614_parecer	Aulo Gelio	authority		1614	Francisco Fernández de Córdoba	Agelio			cité	quote	1
1614_parecer	Conrado Licóstenes	authority		1614	Francisco Fernández de Córdoba	Conrado Licóstenes			mentionné		
1614_parecer	Teócrito	authority		1614	Francisco Fernández de Córdoba	Teócrito			cité	quote	1
1614_parecer	Policiano	authority		1614	Francisco Fernández de Córdoba	Policiano			cité	quote	1
1614_parecer	OC264B	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	Catulo	authority		1614	Francisco Fernández de Córdoba	Catulo			mentionné		
1614_parecer	Aristóteles	authority		1614	Francisco Fernández de Córdoba	Aristóteles			cité	quote	1
1614_parecer	Quintiliano	authority		1614	Francisco Fernández de Córdoba	Quintiliano			cité	quote	1
1614_parecer	Diómedes	authority		1614	Francisco Fernández de Córdoba	Diomedes			cité	quote	1
1614_parecer	Tasso, Torcuato	authority		1614	Francisco Fernández de Córdoba				cité	quote	1
1614_parecer	Minturno, Antonio	authority		1614	Francisco Fernández de Córdoba	Antonio Minturno			cité	quote	1
1614_parecer	Escalígero	authority		1614	Francisco Fernández de Córdoba	Julio César Escalígero			cité	quote	1
1614_parecer	Luisio, Francisco	authority		1614	Francisco Fernández de Córdoba	Francisco Luisio			cité	quote	1
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba	Horacio			mentionné	quote	1
1614_parecer	Tasso, Torcuato	authority		1614	Francisco Fernández de Córdoba	Torcuato Tasso			cité	quote	1
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba	Horacio			cité	quote	1
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba				cité	quote	1
1614_parecer	Vida, Marco Girolamo	authority		1614	Francisco Fernández de Córdoba	Jerónimo Vida			cité	quote	1
1614_parecer	Aristóteles	authority		1614	Francisco Fernández de Córdoba	Aristóteles			cité	quote	3
1614_parecer	Quintiliano	authority		1614	Francisco Fernández de Córdoba	Quintiliano			cité	quote	1
1614_parecer	Virgilio	authority		1614	Francisco Fernández de Córdoba				cité de seconde main	quote	1
1614_parecer	Tasso, Torcuato	authority		1614	Francisco Fernández de Córdoba	Tasso			cité	quote	1
1614_parecer	Aristóteles	authority		1614	Francisco Fernández de Córdoba	Aristotele			mentionné de seconde main		
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba	Horacio			cité	quote	1
1614_parecer	Luciano de Samosata	authority		1614	Francisco Fernández de Córdoba	Luciano			cité	quote	1
1614_parecer	San Jerónimo	authority		1614	Francisco Fernández de Córdoba	san Jerónimo			cité	quote	1
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba				cité	quote	1
1614_parecer	Terencio	authority		1614	Francisco Fernández de Córdoba	Terencio			cité	quote	1
1614_parecer	Máximo de Tiro	authority		1614	Francisco Fernández de Córdoba	Máximo Tirio			cité	quote	1
1614_parecer	Celio Firmiano Simposio	authority		1614	Francisco Fernández de Córdoba	Simposio			mentionné		
1614_parecer	Ovidio	authority		1614	Francisco Fernández de Córdoba				cité	quote	1
1614_parecer	Heráclito	authority		1614	Francisco Fernández de Córdoba	Heráclito			mentionné de seconde main		
1614_parecer	Cicerón	authority		1614	Francisco Fernández de Córdoba	Cicerón			cité	quote	1
1614_parecer	Plauto	authority		1614	Francisco Fernández de Córdoba	Plauto			cité	quote	1
1614_parecer	Aristóteles	authority		1614	Francisco Fernández de Córdoba	Aristóteles			mentionné		
1614_parecer	Persio	authority		1614	Francisco Fernández de Córdoba	Persio			mentionné		
1614_parecer	Cicerón	authority		1614	Francisco Fernández de Córdoba	Cicerón			cité	quote	1
1614_parecer	Quintiliano	authority		1614	Francisco Fernández de Córdoba	Quintiliano			cité	quote	1
1614_parecer	Plauto	authority		1614	Francisco Fernández de Córdoba	Tibulo			mentionné		
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba	Horacio			cité	quote	1
1614_parecer	Vida, Marco Girolamo	authority		1614	Francisco Fernández de Córdoba	Jerónimo Vida			mentionné		
1614_parecer	Eliano	authority		1614	Francisco Fernández de Córdoba	Eliano			mentionné		
1614_parecer	Tasso, Torcuato	authority		1614	Francisco Fernández de Córdoba	Tasso			mentionné		
1614_parecer	Quintiliano	authority		1614	Francisco Fernández de Córdoba	Quintiliano			mentionné		
1614_parecer	Cicerón	authority		1614	Francisco Fernández de Córdoba	Cicerón			cité	quote	1
1614_parecer	Aristóteles	authority		1614	Francisco Fernández de Córdoba	Aristóteles			mentionné		
1614_parecer	Escalígero	authority		1614	Francisco Fernández de Córdoba	Escalígero			mentionné		
1614_parecer	Tasso, Torcuato	authority		1614	Francisco Fernández de Córdoba	Torcuato			mentionné		
1614_parecer	Virgilio	authority		1614	Francisco Fernández de Córdoba	Virgilio			cité	quote	1
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba	Horacio			mentionné		
1614_parecer	Vida, Marco Girolamo	authority		1614	Francisco Fernández de Córdoba	Jerónimo Vida			cité	quote	1
1614_parecer	Fracastoro, Girolamo	authority		1614	Francisco Fernández de Córdoba	Fracastoro			cité	quote	1
1614_parecer	Vida, Marco Girolamo	authority		1614	Francisco Fernández de Córdoba	Teócrito			mentionné		
1614_parecer	Bión de Esmirna	authority		1614	Francisco Fernández de Córdoba	Bión			mentionné		
1614_parecer	Virgilio	authority		1614	Francisco Fernández de Córdoba	Virgilio			mentionné		
1614_parecer	Titus Calpurnius Siculus	authority		1614	Francisco Fernández de Córdoba	Calpurnio			mentionné		
1614_parecer	Severus Sanctus Endelechius	authority		1614	Francisco Fernández de Córdoba	Severo			mentionné		
1614_parecer	Petrarca	authority		1614	Francisco Fernández de Córdoba	Petrarca			mentionné		
1614_parecer	Sannazaro	authority		1614	Francisco Fernández de Córdoba	Sannazaro			mentionné		
1614_parecer	Pontano, Giovanni	authority		1614	Francisco Fernández de Córdoba	Pontano			mentionné		
1614_parecer	Rosiglia, Marco	authority		1614	Francisco Fernández de Córdoba	Marco Rosiglia			mentionné		
1614_parecer	Benivieni, Girolamo	authority		1614	Francisco Fernández de Córdoba	Gerónimo Benivieni			mentionné		
1614_parecer	Tasso, Bernardo	authority		1614	Francisco Fernández de Córdoba	Bernardo Tasso			mentionné		
1614_parecer	Alemanni, Luigi	authority		1614	Francisco Fernández de Córdoba	Luis Alemanni			mentionné		
1614_parecer	Garcilaso de la Vega	authority		1614	Francisco Fernández de Córdoba	Garcilaso			mentionné		
1614_parecer	Gaius Valerius Flaccus	authority		1614	Francisco Fernández de Córdoba	Valerio Flaco			mentionné		
1614_parecer	Estacio	authority		1614	Francisco Fernández de Córdoba	Estacio Papinio			mentionné		
1614_parecer	Escalígero	authority		1614	Francisco Fernández de Córdoba	Escalígero			cité	quote	1
1614_parecer	Persio	authority		1614	Francisco Fernández de Córdoba	Persio			mentionné		
1614_parecer	Escalígero	authority		1614	Francisco Fernández de Córdoba	Escalígero			cité	quote	1
1614_parecer	Valencia, Pedro de	polemist		1614	Francisco Fernández de Córdoba	Pedro de Valencia					
1614_parecer	Marcial	authority		1614	Francisco Fernández de Córdoba				cité	quote	1
1614_parecer	Aristóteles	authority		1614	Francisco Fernández de Córdoba	Aristóteles			mentionné		
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba	Horacio			mentionné		
1614_parecer	Vida, Marco Girolamo	authority		1614	Francisco Fernández de Córdoba	Vida			mentionné		
1614_parecer	Tasso, Torcuato	authority		1614	Francisco Fernández de Córdoba	Tasso			mentionné		
1614_parecer	Horacio	authority		1614	Francisco Fernández de Córdoba				cité	quote	1
1614_parecer	Tasso, Torcuato	authority		1614	Francisco Fernández de Córdoba	Torcuato Tasso			mentionné		
1614_parecer	Aristóteles	authority		1614	Francisco Fernández de Córdoba	Aristóteles			mentionné de seconde main		
1614_parecer	OC264B	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	OC255	ref		1614	Francisco Fernández de Córdoba		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1614_parecer	OC264B	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	OC264C	ref		1614	Francisco Fernández de Córdoba		Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1614_parecer	OC264C	ref		1614	Francisco Fernández de Córdoba		Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1614_parecer	OC264B	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	OC264B	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	OC264C	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	Teofrasto	authority		1614	Francisco Fernández de Córdoba	Teofrasto			mentionné		
1614_parecer	Plinio el Viejo	authority		1614	Francisco Fernández de Córdoba	Plinio			mentionné		
1614_parecer	OC264C	ref		1614	Francisco Fernández de Córdoba		Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1614_parecer	OC264B	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	OC264B	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	OC264B	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	OC264B	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	OC264B	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	OC264C	ref		1614	Francisco Fernández de Córdoba		Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1614_parecer	OC264B	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	OC264B	ref		1614	Francisco Fernández de Córdoba		Era del año la estación florida [Soledad Primera]	1613			
1614_parecer	OC264C	ref		1614	Francisco Fernández de Córdoba		Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1614_parecer	OC264C	ref		1614	Francisco Fernández de Córdoba		Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1614_parecer	OC264C	ref		1614	Francisco Fernández de Córdoba		Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1614_parecer	OC264C	ref		1614	Francisco Fernández de Córdoba		Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1614_parecer	Escalígero	authority		1614	Francisco Fernández de Córdoba	César Escalígero			cité	quote	2
1614_parecer	Bembo, Pietro	authority		1614	Francisco Fernández de Córdoba	Bembo			mentionné de seconde main		
