Source	Target	mode	section	date	labelSource	labelTarget	PoemTitle	PoemDate	precision	unit	quantity
1617_pasajero-figueroa	Herrera, Fernando de	authority		1617	Suárez de Figueroa, Cristóbal	un docto moderno			mentionné et cité		
1617_pasajero-figueroa	Góngora, Luis de	polemist		1617	Suárez de Figueroa, Cristóbal	su primer autor					
1617_pasajero-figueroa	Cocai, Merlin	authority		1617	Suárez de Figueroa, Cristóbal	Merlín Cocayo			mentionné et cité		
1617_pasajero-figueroa	Dante	authority		1617	Suárez de Figueroa, Cristóbal	Dante			mentionné et cité		
1617_pasajero-figueroa	Virgilio	authority		1617	Suárez de Figueroa, Cristóbal	Virgilio			mentionné et cité		
1617_pasajero-figueroa	Homero	authority		1617	Suárez de Figueroa, Cristóbal	Homero			mentionné et cité		
1617_pasajero-figueroa	Herrera, Fernando de	authority		1617	Suárez de Figueroa, Cristóbal	el mismo moderno			mentionné et cité		
1617_pasajero-figueroa	Herrera, Fernando de	authority		1617	Suárez de Figueroa, Cristóbal	el mismo autor			mentionné et cité		
1617_pasajero-figueroa	Góngora, Luis de	polemist		1617	Suárez de Figueroa, Cristóbal	Luis de Góngora					
1617_pasajero-figueroa	Tassis y Peralta, Juan de, conde de Villamediana	authority		1617	Suárez de Figueroa, Cristóbal	Conde de Villamediana			mentionné et cité		
1617_pasajero-figueroa	OC314	ref		1617	Suárez de Figueroa, Cristóbal		Cristales el Po desata	1617			
1617_pasajero-figueroa	OC311	ref		1617	Suárez de Figueroa, Cristóbal		En vez de las Helíades, ahora	1617			

