Id	Label	type	date
1617_pasajero-figueroa	1617_pasajero-figueroa	text	1617
un docto moderno	un docto moderno	authority
Fernando de Herrera	Fernando de Herrera	authority
su primer autor	su primer autor	polemista
Merlín Cocayo	Merlín Cocayo	authority
Dante	Dante	authority
Virgilio	Virgilio	authority
Homero	Homero	authority
moderno	moderno	authority
Fernando de Herrera.	Fernando de Herrera.	authority
el mismo autor	el mismo autor	authority
Luis de Góngora	Luis de Góngora	polemista
Conde de Villamediana	Conde de Villamediana	authority
OC314	Cristales el Po desata	ref	1617
OC311	En vez de las Helíades, ahora	ref	1617
