Id	Label	type	date
1621_censura-lope	1621_censura-lope	text	1621
Lope de Vega Carpio	Lope de Vega Carpio	polemista	
ese caballero	ese caballero	polemista	
Luis de Góngora	Luis de Góngora	polemista	
su autor	su autor	polemista	
Lope	Lope	polemista	
Horacio	Horacio	authority	
Aristóteles	Aristóteles	authority	
Aulo Gelio	Aulo Gelio	authority	
Hermolao Barbaro	Hermolao Barbaro	authority	
Plutarco	Plutarco	authority	
Falereo	Falereo	authority	
César	César	authority	
Cicerón	Cicerón	authority	
Turnebo	Turnebo	authority	
Adrien Turnèbe	Adrien Turnèbe	authority	
este caballero	este caballero	polemista	
Cipriano	Cipriano	authority	
Cipriano Suárez	Cipriano Suárez	authority	
Fabio Quintiliano	Fabio Quintiliano	authority	
Quintiliano	Quintiliano	authority	
Pico Mirandulano	Pico Mirandulano	authority	
Heráclito	Heráclito	authority	
Giovanni Pico della Mirandola	Giovanni Pico della Mirandola	authority	
Platón	Platón	authority	
Mercurio Trimegisto	Mercurio Trimegisto	authority	
Hermes Trismegisto	Hermes Trismegisto	authority	
Mercurio Trismegisto	Mercurio Trismegisto	authority	
Lipsio	Lipsio	authority	
san Agustín	san Agustín	authority	
San Agustín	San Agustín	authority	
Lucio	Lucio	authority	
Lucilio	Lucilio	authority	
Gelio	Gelio	authority	
Aftonio	Aftonio	authority	
Sánchez Brocense	Sánchez Brocense	authority	
Aftonio de Antioquía	Aftonio de Antioquía	authority	
Francisco Sánchez de las Brozas	Francisco Sánchez de las Brozas	authority	
Garcilaso	Garcilaso	authority	
Bernardino Danielo	Bernardino Danielo	authority	
Bernardino Daniello	Bernardino Daniello	authority	
Juan de Mena	Juan de Mena	authority	
Boscán	Boscán	authority	
Hernando de Herrera	Hernando de Herrera	authority	
Gregorio Hernández de Velasco	Gregorio Hernández de Velasco	authority	
Patón	Patón	authority	
Bartolomé Jiménez Patón	Bartolomé Jiménez Patón	authority	
Agustino	Agustino	authority	
doctor Garay	doctor Garay	authority	
Francisco de Garay	Francisco de Garay	authority	
Escala	Escala	authority	
Crinito	Crinito	authority	
Pietro Crinito	Pietro Crinito	authority	
un insigne poeta de nuestros tiempos	un insigne poeta de nuestros tiempos	authority	
José de Valdivielso	José de Valdivielso	authority	
Herrera	Herrera	authority	
Fernando de Herrera	Fernando de Herrera	authority	
Bernardo de Alderete	Bernardo de Alderete	authority	
Lope de Vega	Lope de Vega	polemista	
Arias Montano	Arias Montano	authority	
Lactancio Firmiano	Lactancio Firmiano	authority	
san Bernardo	san Bernardo	authority	
Teócrito	Teócrito	authority	
OC310	Era la noche, en vez del manto obscuro	ref	1616
