Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
	Heródoto	authority		1624	Vega Carpio, Lope Félix de					
	Luis de Góngora	polemista		1624	Vega Carpio, Lope Félix de					
	Cicerón	authority		1624	Vega Carpio, Lope Félix de					
	Giovanni Pico della Mirandola	authority		1624	Vega Carpio, Lope Félix de					
	A. Gelio	authority		1624	Vega Carpio, Lope Félix de					
	Aulo Gelio	authority		1624	Vega Carpio, Lope Félix de					
	Quintiliano	authority		1624	Vega Carpio, Lope Félix de					
	Cicerón	authority		1624	Vega Carpio, Lope Félix de					
	Arias Montano	authority		1624	Vega Carpio, Lope Félix de					
	Cicerón	authority		1624	Vega Carpio, Lope Félix de					
	A. Gelio	authority		1624	Vega Carpio, Lope Félix de					
	Quintiliano	authority		1624	Vega Carpio, Lope Félix de					
	Horacio	authority		1624	Vega Carpio, Lope Félix de					
	san Agustín	authority		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					
	Horacio	authority		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					
	Alejandro Pacio	authority		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					
	OC264A	ref		1624	Vega Carpio, Lope Félix de	Pasos de un peregrino son, errante [Dedicatoria Soledades]	1613
	OC255	ref		1624	Vega Carpio, Lope Félix de	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
	OC264B	ref		1624	Vega Carpio, Lope Félix de	Era del año la estación florida [Soledad Primera]	1613
	el Brocense	authority		1624	Vega Carpio, Lope Félix de					
	Virgilio	authority		1624	Vega Carpio, Lope Félix de					
	Despauterio	authority		1624	Vega Carpio, Lope Félix de					
	el venerable Beda	authority		1624	Vega Carpio, Lope Félix de					
	Virgilio	authority		1624	Vega Carpio, Lope Félix de					
	Horacio	authority		1624	Vega Carpio, Lope Félix de					
	Horacio	authority		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					
	Horacio	authority		1624	Vega Carpio, Lope Félix de					
	Lope de Vega	polemista		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					
	Luciano	authority		1624	Vega Carpio, Lope Félix de					
	Cicerón	authority		1624	Vega Carpio, Lope Félix de					
	Plinio	authority		1624	Vega Carpio, Lope Félix de					
	san Isidoro	authority		1624	Vega Carpio, Lope Félix de					
		authority		1624	Vega Carpio, Lope Félix de					
		authority		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					
	Lope de Vega	polemista		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					
	Persio	authority		1624	Vega Carpio, Lope Félix de					
	Horacio	authority		1624	Vega Carpio, Lope Félix de					
	Ovidio	authority		1624	Vega Carpio, Lope Félix de					
	Lactancio Firmiano	authority		1624	Vega Carpio, Lope Félix de					
	Cicerón	authority		1624	Vega Carpio, Lope Félix de					
	Persio	authority		1624	Vega Carpio, Lope Félix de					
	Estéleno	authority		1624	Vega Carpio, Lope Félix de					
	Esténelo	authority		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					
	Francisco Florido	authority		1624	Vega Carpio, Lope Félix de					
	Empédocles	authority		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					
	Horacio	authority		1624	Vega Carpio, Lope Félix de					
	Escala	authority		1624	Vega Carpio, Lope Félix de					
	Policiano	authority		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					
	Aristóteles	authority		1624	Vega Carpio, Lope Félix de					

