Source	Target	mode	section	date	labelSource	labelTarget	PoemTitle	PoemDate	precision	unit	quantity
1624_colmenares-contra-lope	Heródoto	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Heródoto			mentionné		
1624_colmenares-contra-lope	Góngora, Luis de	polemist	Respuesta a la censura antecedente	1624	Colmenares, Diego	Luis de Góngora					
1624_colmenares-contra-lope	Cicerón	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Cicerón			mentionné		
1624_colmenares-contra-lope	Pico della Mirandola, Giovanni	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Giovanni Pico della Mirandola			mentionné		
1624_colmenares-contra-lope	Aulo Gelio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	A. Gelio			mentionné		
1624_colmenares-contra-lope	Aulo Gelio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Aulo Gelio			mentionné		
1624_colmenares-contra-lope	Quintiliano	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Quintiliano			mentionné		
1624_colmenares-contra-lope	Cicerón	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Cicerón			mentionné		
1624_colmenares-contra-lope	Arias Montano, Benito	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Arias Montano			mentionné		
1624_colmenares-contra-lope	Cicerón	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Cicerón			mentionné		
1624_colmenares-contra-lope	Aulo Gelio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	A. Gelio			mentionné		
1624_colmenares-contra-lope	Quintiliano	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Quintiliano			mentionné		
1624_colmenares-contra-lope	Horacio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Horacio			mentionné		
1624_colmenares-contra-lope	san Agustín	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	san Agustín			mentionné		
1624_colmenares-contra-lope	Aristóteles	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Aristóteles			mentionné		
1624_colmenares-contra-lope	Horacio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Horacio			mentionné		
1624_colmenares-contra-lope	Aristóteles	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Aristóteles			mentionné		
1624_colmenares-contra-lope	de’ Pazzi, Alessandro	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Alejandro Pacio			mentionné		
1624_colmenares-contra-lope	Aristóteles	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Aristóteles			mentionné		
1624_colmenares-contra-lope	OC264A	ref	Respuesta a la censura antecedente	1624	Colmenares, Diego		Pasos de un peregrino son, errante [Dedicatoria Soledades]	1613			
1624_colmenares-contra-lope	OC255	ref	Respuesta a la censura antecedente	1624	Colmenares, Diego		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1624_colmenares-contra-lope	OC264B	ref	Respuesta a la censura antecedente	1624	Colmenares, Diego		Era del año la estación florida [Soledad Primera]	1613			
1624_colmenares-contra-lope	Sánchez de las Brozas, Francisco	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	el Brocense			mentionné		
1624_colmenares-contra-lope	Virgilio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Virgilio			mentionné		
1624_colmenares-contra-lope	Despautère, Jean	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Despauterio			mentionné		
1624_colmenares-contra-lope	Beda el Venerable	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	el venerable Beda			mentionné		
1624_colmenares-contra-lope	Virgilio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Virgilio			mentionné		
1624_colmenares-contra-lope	Horacio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Horacio			mentionné		
1624_colmenares-contra-lope	Horacio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Horacio			mentionné		
1624_colmenares-contra-lope	Aristóteles	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Aristóteles			mentionné		
1624_colmenares-contra-lope	Horacio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Horacio			mentionné		
1624_colmenares-contra-lope	Vega, Lope de	polemist	Respuesta a la censura antecedente	1624	Colmenares, Diego	Lope de Vega					
1624_colmenares-contra-lope	Aristóteles	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Aristóteles			mentionné		
1624_colmenares-contra-lope	Luciano	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Luciano			mentionné		
1624_colmenares-contra-lope	Cicerón	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Cicerón			mentionné		
1624_colmenares-contra-lope	Plinio 	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Plinio			mentionné		
1624_colmenares-contra-lope	san Isidoro	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	san Isidoro			mentionné		
1624_colmenares-contra-lope	Aristóteles	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Aristóteles			mentionné		
1624_colmenares-contra-lope	Vega, Lope de	polemist	Respuesta a la censura antecedente	1624	Colmenares, Diego	Lope de Vega					
1624_colmenares-contra-lope	Aristóteles	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Aristóteles			mentionné		
1624_colmenares-contra-lope	Aristóteles	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Aristóteles			mentionné		
1624_colmenares-contra-lope	Aristóteles	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Aristóteles			mentionné		
1624_colmenares-contra-lope	Persio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Persio			mentionné		
1624_colmenares-contra-lope	Horacio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Horacio			mentionné		
1624_colmenares-contra-lope	Ovidio	authority	Respuesta a la censura antecedente	1624	Colmenares, Diego	Ovidio			mentionné		
