Id	Label	type	date
1624_colmenares-contra-lope	1624_colmenares-contra-lope	text	1624
Heródoto	Heródoto	authority	
Luis de Góngora	Luis de Góngora	polemista	
Cicerón	Cicerón	authority	
Giovanni Pico della Mirandola	Giovanni Pico della Mirandola	authority	
A. Gelio	A. Gelio	authority	
Aulo Gelio	Aulo Gelio	authority	
Quintiliano	Quintiliano	authority	
Arias Montano	Arias Montano	authority	
Horacio	Horacio	authority	
san Agustín	san Agustín	authority	
Aristóteles	Aristóteles	authority	
Alejandro Pacio	Alejandro Pacio	authority	
el Brocense	el Brocense	authority	
Virgilio	Virgilio	authority	
Despauterio	Despauterio	authority	
el venerable Beda	el venerable Beda	authority	
Lope de Vega	Lope de Vega	polemista	
Luciano	Luciano	authority	
Plinio	Plinio	authority	
san Isidoro	san Isidoro	authority	
Persio	Persio	authority	
Ovidio	Ovidio	authority	
Lactancio Firmiano	Lactancio Firmiano	authority	
Estéleno	Estéleno	authority	
Esténelo	Esténelo	authority	
Francisco Florido	Francisco Florido	authority	
Empédocles	Empédocles	authority	
Escala	Escala	authority	
Policiano	Policiano	authority	
Platón	Platón	authority	
Savonarola	Savonarola	authority	
Crisóstomo	Crisóstomo	authority	
Robortelio	Robortelio	authority	
Girolamo Savonarola	Girolamo Savonarola	authority	
Heliodoro	Heliodoro	authority	
Apuleyo	Apuleyo	authority	
Sannazaro	Sannazaro	authority	
San Martino	San Martino	authority	
el Tolosano	el Tolosano	authority	
Pierre Gregoire	Pierre Gregoire	authority	
Francisco de Quevedo	Francisco de Quevedo	polemista	
Cipriano	Cipriano	authority	
Audomaro Taleo	Audomaro Taleo	authority	
Cipriano Suárez	Cipriano Suárez	authority	
Omer Talon	Omer Talon	authority	
Magno Tirio	Magno Tirio	authority	
Ludovico de Costanciaro	Ludovico de Costanciaro	authority	
Lodovico Carbone da Costacciaro	Lodovico Carbone da Costacciaro	authority	
Plutarco	Plutarco	authority	
el dueño de este discurso	el dueño de este discurso	polemista	
Diego de Colmenares	Diego de Colmenares	polemista	
Macrobio	Macrobio	authority	
el dueño	el dueño	polemista	
Antonio	Antonio	authority	
Catulo	Catulo	authority	
Josefo Escalígero	Josefo Escalígero	authority	
Plauto	Plauto	authority	
Aristófanes	Aristófanes	authority	
Jasón de Nores	Jasón de Nores	authority	
Sócrates	Sócrates	authority	
Lino	Lino	authority	
Orfeo	Orfeo	authority	
Anfíon	Anfíon	authority	
Homero	Homero	authority	
Livio Andrónico	Livio Andrónico	authority	
Enio	Enio	authority	
Petrarca	Petrarca	authority	
Zonaras	Zonaras	authority	
Genebrardo	Genebrardo	authority	
		authority	
Beuter	Beuter	authority	
Juan Segundo	Juan Segundo	authority	
fray Luis de León	fray Luis de León	authority	
Manilio	Manilio	authority	
Marco Girolamo Vida	Marco Girolamo Vida	authority	
Hesíodo	Hesíodo	authority	
Papinio	Papinio	authority	
Jerónimo Vida	Jerónimo Vida	authority	
Escalígero	Escalígero	authority	
Vitruvio	Vitruvio	authority	
Pedro Galandio	Pedro Galandio	authority	
Tertuliano	Tertuliano	authority	
Jacobo Grifolo	Jacobo Grifolo	authority	
Dionisio Lambino	Dionisio Lambino	authority	
Lucrecio	Lucrecio	authority	
Julio César Escalígero	Julio César Escalígero	authority	
José de Sigüenza	José de Sigüenza	authority	
el Nebrisense	el Nebrisense	authority	
Elio Antonio de Nebrija	Elio Antonio de Nebrija	authority	
San Agustín	San Agustín	authority	
Pedro Crinito	Pedro Crinito	authority	
Celio Rodiginio	Celio Rodiginio	authority	
Remberto Dodoneo	Remberto Dodoneo	authority	
Conrado Gesnerio	Conrado Gesnerio	authority	
Rávido	Rávido	authority	
Sambuco	Sambuco	authority	
Suetonio	Suetonio	authority	
Hieroteo	Hieroteo	authority	
Flavio Dextro	Flavio Dextro	authority	
OC264A	Pasos de un peregrino son, errante [Dedicatoria Soledades]	ref	1613
OC255	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	ref	1612
OC264B	Era del año la estación florida [Soledad Primera]	ref	1613
