Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
	Horacio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Horacio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Quintiliano	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Aulo Gelio	authority		1624	Jáuregui, Juan de					
	Demetrio Falereo	authority		1624	Jáuregui, Juan de					
	Demetrio Falereo	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Teofrasto	authority		1624	Jáuregui, Juan de					
	Victorio, Pedro	authority		1624	Jáuregui, Juan de					
	Cicerón	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Cicerón	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Séneca               	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Séneca	authority		1624	Jáuregui, Juan de					
	Séneca	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Virgilio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Estacio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Petronio	authority		1624	Jáuregui, Juan de					
	Aristóteles	authority		1624	Jáuregui, Juan de					
	Homero	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Plutarco	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Aristóteles	authority		1624	Jáuregui, Juan de					
	Quintiliano	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Lucilio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Ateneo	authority		1624	Jáuregui, Juan de					
	Ovidio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Manilio, Marco	authority		1624	Jáuregui, Juan de					
	Aulo Gelio	authority		1624	Jáuregui, Juan de					
	Laberio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Virgilio	authority		1624	Jáuregui, Juan de					
	Macrobio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Lucrecio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Julio César	authority		1624	Jáuregui, Juan de					
	Salustio	authority		1624	Jáuregui, Juan de					
	Julio César	authority		1624	Jáuregui, Juan de					
	Aulo Gelio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Tuberón	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Juvencio Celso	authority		1624	Jáuregui, Juan de					
	Virgilio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Horacio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Demetrio	authority		1624	Jáuregui, Juan de					
	OC264B	ref		1624	Jáuregui, Juan de	Era del año la estación florida [Soledad Primera]	1613			
	777	ref		1624	Jáuregui, Juan de	Era del año la estación florida [Soledad Primera]	1613			
	848	ref		1624	Jáuregui, Juan de	Era del año la estación florida [Soledad Primera]	1613			
	OC255	ref		1624	Jáuregui, Juan de	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
	480	ref		1624	Jáuregui, Juan de	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
	Teofrasto	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Demetrio	authority		1624	Jáuregui, Juan de					
	Horacio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Vida, Girolamo	authority		1624	Jáuregui, Juan de			mentionné et cité		
	OC264B	ref		1624	Jáuregui, Juan de	Era del año la estación florida [Soledad Primera]	1613			
	Tasso, Torquato	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Cicerón	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Cicerón	authority		1624	Jáuregui, Juan de					
	Vega, Lope de	polemist		1624	Jáuregui, Juan de					
	Garcilaso	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Cicerón	authority		1624	Jáuregui, Juan de			mentionné et cité		
	OC233	ref		1624	Jáuregui, Juan de	Este, que Babia al mundo hoy ha ofrecido	1611			
	Quintiliano	authority		1624	Jáuregui, Juan de					
	Séneca	authority		1624	Jáuregui, Juan de					
	Demetrio Falereo	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Safo	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Demetrio Falereo	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Petronio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Quintiliano	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Petronio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Horacio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Nigidio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Aulo Gelio	authority		1624	Jáuregui, Juan de					
	Aulo Gelio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Varrón	authority		1624	Jáuregui, Juan de					
	Ramírez de Prado, Lorenzo	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Petronio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Quintiliano	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Quintiliano	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Corina	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Ennio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Lucrecio 	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Aulo Gelio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Cicerón	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Lucrecio	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Ennio	authority		1624	Jáuregui, Juan de					
	Cicerón	authority		1624	Jáuregui, Juan de			mentionné et cité		
	Virgilio	authority		1624	Jáuregui, Juan de					
