Id	Label	type	date
1624_discurso-poetico	1624_discurso-poetico	text	1624
algún autor enojado.	algún autor enojado.	polemista
algunos discursos que he visto contra la demasía moderna	algunos discursos que he visto contra la demasía moderna	polemista
gran Lírico	gran Lírico	authority
Horacio	Horacio	authority
Quintiliano	Quintiliano	authority
Gelio	Gelio	authority
Autor a Herenio.	Autor a Herenio.	authority
Demetrio Falereo	Demetrio Falereo	authority
Teofrasto	Teofrasto	authority
Pedro Victorio	Pedro Victorio	authority
Tulio	Tulio	authority
Cicerón	Cicerón	authority
Séneca	Séneca	authority
Virgilio	Virgilio	authority
Estacio	Estacio	authority
Petronio:	Petronio:	authority
Aristóteles	Aristóteles	authority
Homero	Homero	authority
Plutarco	Plutarco	authority
Lucilio	Lucilio	authority
Ateneo	Ateneo	authority
Ovidio	Ovidio	authority
Manilio,	Manilio,	authority
Laberio	Laberio	authority
Macrobio	Macrobio	authority
Lucrecio	Lucrecio	authority
César	César	authority
Salustio	Salustio	authority
Cayo César	Cayo César	authority
Tuberón	Tuberón	authority
Celso	Celso	authority
Demetrio	Demetrio	authority
Jerónimo Vida	Jerónimo Vida	authority
Torquato Tasso	Torquato Tasso	authority
del insigne orador	del insigne orador	authority
algún autor enojado	algún autor enojado	polemista
Garcilaso	Garcilaso	authority
Falereo	Falereo	authority
Safo	Safo	authority
Petronio	Petronio	authority
Nigidio	Nigidio	authority
Aulo Gelio	Aulo Gelio	authority
Varrón	Varrón	authority
Lorenzo Ramírez de Prado	Lorenzo Ramírez de Prado	authority
Este autor	Este autor	authority
Corina	Corina	authority
Ennio	Ennio	authority
Enio	Enio	authority
Homero,	Homero,	authority
algunos dicursos que he visto contra la demasía moderna	algunos dicursos que he visto contra la demasía moderna	polemista
Lope de Vega	Lope de Vega	polemista
Plinio	Plinio	authority
Luciano	Luciano	authority
Plinio,	Plinio,	authority
Escalígero	Escalígero	authority
Rétor	Rétor	authority
Nacianceno	Nacianceno	authority
A. Gelio	A. Gelio	authority
César Escalígero	César Escalígero	authority
Marcial	Marcial	authority
Persio	Persio	authority
Focílides	Focílides	authority
nuestro orador	nuestro orador	authority
el autor a Herenio	el autor a Herenio	authority
Peregrino	Peregrino	authority
Bocacio	Bocacio	authority
Livio	Livio	authority
Agustino	Agustino	authority
Manilio	Manilio	authority
Arato	Arato	authority
Tomás	Tomás	authority
Vida	Vida	authority
el padre Florencia	el padre Florencia	authority
OC264B	Era del año la estación florida [Soledad Primera]	ref	1613
OC255	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	ref	1612
OC233	Este, que Babia al mundo hoy ha ofrecido	ref	1611
OC463	Patos de la aguachirle castellana,	ref	ant. a 1622
OC283	Al pie de un álamo negro,	ref	1614
OC462	Doce sermones estampó Florencia,	ref	¿1621?
