Id	Label	type	date
1624_discurso-poetico	1624_discurso-poetico	text	1624
Horacio	Horacio	authority	
Quintiliano	Quintiliano	authority	
Aulo Gelio	Aulo Gelio	authority	
Autor a Herenio	Autor a Herenio	authority	
Demetrio Falereo	Demetrio Falereo	authority	
Teofrasto	Teofrasto	authority	
Victorio, Pedro	Victorio, Pedro	authority	
Cicerón	Cicerón	authority	
Séneca	Séneca	authority	
Virgilio	Virgilio	authority	
Estacio	Estacio	authority	
Petronio	Petronio	authority	
Aristóteles	Aristóteles	authority	
Homero	Homero	authority	
Plutarco	Plutarco	authority	
Veccio	Veccio	authority	
Lucilio	Lucilio	authority	
Ateneo	Ateneo	authority	
Ovidio	Ovidio	authority	
Manilio, Marco	Manilio, Marco	authority	
Laberio	Laberio	authority	
Macrobio	Macrobio	authority	
Lucrecio	Lucrecio	authority	
Julio César	Julio César	authority	
Salustio	Salustio	authority	
Tuberón	Tuberón	authority	
Juvencio Celso	Juvencio Celso	authority	
Demetrio	Demetrio	authority	
Victorio	Victorio	authority	
Vida, Girolamo	Vida, Girolamo	authority	
Lucano	Lucano	authority	
Vega, Lope de	Vega, Lope de	polemist	
Garcilaso	Garcilaso	authority	
Vida	Vida	authority	
Aruncio	Aruncio	authority	
Safo	Safo	authority	
Nigidio	Nigidio	authority	
Varrón	Varrón	authority	
Ramírez de Prado, Lorenzo	Ramírez de Prado, Lorenzo	authority	
Corina	Corina	authority	
Ennio	Ennio	authority	
Probo Valerio	Probo Valerio	authority	
Plinio	Plinio	authority	
Luciano	Luciano	authority	
Escalígero	Escalígero	authority	
san Gregorio Nacianceno	san Gregorio Nacianceno	authority	
Marcial	Marcial	authority	
Persio	Persio	authority	
Focílides	Focílides	authority	
el autor a Herenio	el autor a Herenio	authority	
Boccaccio	Boccaccio	authority	
Tito Livio	Tito Livio	authority	
San Agustín	San Agustín	authority	
Arato	Arato	authority	
Santo Tomás	Santo Tomás	authority	
Florencia, Jerónimo de	Florencia, Jerónimo de	authority	
OC264B	Era del año la estación florida [Soledad Primera]	ref	1613
OC255	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	ref	1612
OC233	Este, que Babia al mundo hoy ha ofrecido	ref	1611
OC463	Patos de la aguachirle castellana,	ref	ant. a 1622
OC283	Al pie de un álamo negro,	ref	1614
OC462	Doce sermones estampó Florencia,	ref	¿1621?
