Source	Target	mode	section	date	labelSource	labelTarget	PoemTitle	PoemDate	precision	unit	quantity
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis de Góngora					
1630_vida-mayor	Pellicer, José	polemist		1630	Pellicer y Tovar, José	José Pellicer de Salas					
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis de Góngora					
1630_vida-mayor	Séneca	authority		1630	Pellicer y Tovar, José	Séneca			mentionné et cité		
1630_vida-mayor	Lucano	authority		1630	Pellicer y Tovar, José	Lucano			mentionné et cité		
1630_vida-mayor	Mena, Juan de	authority		1630	Pellicer y Tovar, José	Juan de Mena			mentionné et cité		
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	Homero	authority		1630	Pellicer y Tovar, José	Homero			mentionné et cité		
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	OC424	ref		1630	Pellicer y Tovar, José		Huésped, sacro señor, no: peregrino	1593			
1630_vida-mayor	OC101	ref		1630	Pellicer y Tovar, José		Muerto me lloró el Tormes en su orilla	1594			
1630_vida-mayor	Hesíodo	authority		1630	Pellicer y Tovar, José	Hesíodo			mentionné et cité		
1630_vida-mayor	Sidonio               Apolinar	authority		1630	Pellicer y Tovar, José	Sidonio Apolinar			mentionné et cité		
1630_vida-mayor	Marcial	authority		1630	Pellicer y Tovar, José	Marcial			mentionné et cité		
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	Paravicino, fray Hortensio Félix	authority		1630	Pellicer y Tovar, José	fray Hortensio Félix Paravicino			mentionné et cité		
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	OC288	ref		1630	Pellicer y Tovar, José		Pisó las calles de Madrid el fiero	1615			
1630_vida-mayor	OC449	ref		1630	Pellicer y Tovar, José		Con poca luz y menos disciplina,	¿1613?			
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	OC290	ref		1630	Pellicer y Tovar, José		Restituye a tu mudo horror divino,	1615			
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	OC202	ref		1630	Pellicer y Tovar, José		Mal haya el que en señores idolatra	1609			
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis de Góngora					
1630_vida-mayor	OC334	ref		1630	Pellicer y Tovar, José		Dulce arroyuelo de la nieve fría	1620			
1630_vida-mayor	OC335	ref		1630	Pellicer y Tovar, José		Peinaba al sol Belisa sus cabellos	1620			
1630_vida-mayor	OC388	ref		1630	Pellicer y Tovar, José		En este occidental, en este, oh Licio,	1623			
1630_vida-mayor	OC249	ref		1630	Pellicer y Tovar, José		Cloris, el más bello grano	1611			
1630_vida-mayor	OC264C	ref	ref5	1630	Pellicer y Tovar, José		Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	Virgilio	authority		1630	Pellicer y Tovar, José	Virgilio			mentionné et cité		
1630_vida-mayor	Claudiano	authority		1630	Pellicer y Tovar, José	Claudiano			mentionné et cité		
1630_vida-mayor	Horacio	authority		1630	Pellicer y Tovar, José	Horacio			mentionné et cité		
1630_vida-mayor	OC202	ref		1630	Pellicer y Tovar, José		Mal haya el que en señores idolatra	1609			
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	Eurípides	authority		1630	Pellicer y Tovar, José	Eurípides			mentionné et cité		
1630_vida-mayor	Calímaco	authority		1630	Pellicer y Tovar, José	Calímaco			mentionné et cité		
1630_vida-mayor	Apolonio Rodio	authority		1630	Pellicer y Tovar, José	Apolonio Rodio			mentionné et cité		
1630_vida-mayor	Nono de                   Panópolis	authority		1630	Pellicer y Tovar, José	Nonio Panopolitano			mentionné et cité		
1630_vida-mayor	Quinto Calabro	authority		1630	Pellicer y Tovar, José	Quinto Calabro			mentionné et cité		
1630_vida-mayor	Homero	authority		1630	Pellicer y Tovar, José	Homero			mentionné et cité		
1630_vida-mayor	Museo	authority		1630	Pellicer y Tovar, José	Museo			mentionné et cité		
1630_vida-mayor	Aristéneto de Nicea	authority		1630	Pellicer y Tovar, José	Aristéneto			mentionné et cité		
1630_vida-mayor	Dión Crisóstomo	authority		1630	Pellicer y Tovar, José	Dión Crisóstomo			mentionné et cité		
1630_vida-mayor	Anacreonte de Teos	authority		1630	Pellicer y Tovar, José	Anacreonte			mentionné et cité		
1630_vida-mayor	Heliodoro	authority		1630	Pellicer y Tovar, José	Heliodoro			mentionné et cité		
1630_vida-mayor	Aquiles Tacio	authority		1630	Pellicer y Tovar, José	Aquiles Tacio			mentionné et cité		
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	Chacón, Antonio	polemist		1630	Pellicer y Tovar, José	don Antonio Chacón, señor de Polvoranca,			mentionné et cité		
1630_vida-mayor	Homero	authority		1630	Pellicer y Tovar, José	Homero			mentionné et cité		
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis					
1630_vida-mayor	Góngora, Luis de	polemist		1630	Pellicer y Tovar, José	Luis de Góngora					
1630_vida-mayor	Pellicer, José	polemist		1630	Pellicer y Tovar, José	Joseph Pellicer de Salas y Tovar					

