Id	Label	type	date
1631_obras-quevedo	1631_obras-quevedo	text	1631
Plinio	Plinio	authority	
san Jerónimo	san Jerónimo	authority	
Aristóteles	Aristóteles	authority	
Herrera, Fernando de	Herrera, Fernando de	authority	
Demetrio Falereo	Demetrio Falereo	authority	
Erasmo	Erasmo	authority	
Augusto	Augusto	authority	
Andreini de Pistoia, Francisco	Andreini de Pistoia, Francisco	authority	
Macial	Macial	authority	
Estacio	Estacio	authority	
Horacio	Horacio	authority	
Espinel, Vicente	Espinel, Vicente	authority	
Propercio	Propercio	authority	
Petronio	Petronio	authority	
Antífanes	Antífanes	authority	
Aristófanes	Aristófanes	authority	
Epicteto	Epicteto	authority	
Rittershausen, Konrad	Rittershausen, Konrad	authority	
Quintiliano	Quintiliano	authority	
Virgilio	Virgilio	authority	
Boscán	Boscán	authority	
Garcilaso	Garcilaso	authority	
Figueroa, Francisco de	Figueroa, Francisco de	authority	
Aldana, Francisco de	Aldana, Francisco de	authority	
Barahona de Soto, Luis	Barahona de Soto, Luis	authority	
Ercilla, Alonso de	Ercilla, Alonso de	authority	
Píndaro	Píndaro	authority	
León, fray Luis de	León, fray Luis de	authority	
Villena, Enrique de	Villena, Enrique de	authority	
Lulio, Antonio	Lulio, Antonio	authority	
Petrarca	Petrarca	authority	
Casa, Giovanni della	Casa, Giovanni della	authority	
