Id	Label	type	date
1633_escrutinio	1633_escrutinio	text	1633
Góngora, Luis de	Góngora, Luis de	polemist	
Pellicer, José	Pellicer, José	polemist	
Séneca	Séneca	authority	
Lucano	Lucano	authority	
Avicena	Avicena	authority	
Homero	Homero	authority	
Virgilio	Virgilio	authority	
Garcilaso	Garcilaso	authority	
adversarios de Góngora	adversarios de Góngora	polemist	
Castroverde, Fray Francisco de	Castroverde, Fray Francisco de	authority	
Tassis y Peralta, Juan de	Tassis y Peralta, Juan de	authority	
Dávila Toledo, Sancho	Dávila Toledo, Sancho	authority	
Manrique de Vargas, Luis	Manrique de Vargas, Luis	authority	
Tamayo de Vargas, Tomás	Tamayo de Vargas, Tomás	polemist	
Cárdenas y Angulo, Pedro de	Cárdenas y Angulo, Pedro de	authority	
Paredes, Antonio de	Paredes, Antonio de	authority	
Vega, Lope de	Vega, Lope de	polemist	
Liñán de Riaza, Pedro	Liñán de Riaza, Pedro	authority	
Salinas y Castro, Juan de	Salinas y Castro, Juan de	authority	
OC50	¡Oh excelso muro, oh torres coronadas	ref	1585
OC65	Hanme dicho, hermanas	ref	1587
OC308	Piadoso hoy celo, culto	ref	1616
OC255	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	ref	1612
OC179	Sacro pastor de pueblos, que, en florida	ref	1608
OC169	Alta esperanza, gloria del estado	ref	1607
OC163	Velero bosque, de árboles poblado	ref	1605
OC165	Verde el cabello undoso	ref	1605
OC164	Volvió al mar Alcïón, volvió a las redes	ref	1605
O67	Tú, cuyo ilustre entre una y otra almena	ref	1588
OC69	Grandes, más que elefantes y que abadas	ref	1588
OC447	Arroyo, ¿en qué ha de parar	ref	¿1612?
OC364	Cuanto el acero fatal	ref	1621
OC110	Temo tanto los serenos	ref	1596
OC289	En villa humilde sí, no en vida ociosa,	ref	1615
OC268	Salí, señor don Pedro, esta mañana	ref	1613
OC27	En la pedregosa orilla	ref	1582
OC28	Diez años vivió Belerma	ref	1582
OC456	Antes que alguna caja luterana	ref	¿ant. a 1617?
gongora_obra-poetica#intro		ref	
OC283	Al pie de un álamo negro,	ref	1614
