Id	Label	type	date
1633_tragedia	1633_tragedia	text	1633
Aristóteles	Aristóteles	authority
Quintiliano	Quintiliano	authority
Demóstenes	Demóstenes	authority
Hermógenes	Hermógenes	authority
Favorino	Favorino	authority
Aulo Gelio	Aulo Gelio	authority
el divino Aristóteles	el divino Aristóteles	authority
Luciano	Luciano	authority
Plutarco	Plutarco	authority
nuestro español Quintiliano	nuestro español Quintiliano	authority
Marcial	Marcial	authority
Ovidio	Ovidio	authority
Horacio	Horacio	authority
Tulio	Tulio	authority
los maestros de la Historia	los maestros de la Historia	authority
,	,	authority
Filóstrato	Filóstrato	authority
San Jerónimo	San Jerónimo	authority
Cicerón	Cicerón	authority
Laercio	Laercio	authority
maestro venusino	maestro venusino	authority
