Id	Label	type	date
1633_tragedia	1633_tragedia	text	1633
Aristóteles	Aristóteles	authority	
Quintiliano	Quintiliano	authority	
Demóstenes	Demóstenes	authority	
Hermógenes	Hermógenes	authority	
Favorino	Favorino	authority	
Aulo Gelio	Aulo Gelio	authority	
Luciano	Luciano	authority	
Plutarco	Plutarco	authority	
Marcial	Marcial	authority	
Ovidio	Ovidio	authority	
Horacio	Horacio	authority	
Cicerón	Cicerón	authority	
los maestros de la Historia	los maestros de la Historia	authority	
Filóstrato	Filóstrato	authority	
San Jerónimo	San Jerónimo	authority	
Diógenes	Diógenes	authority	
