Id	Label	type	date
1634_carta-cascales-tribaldos; 1634_carta-villar-ortiz, 1634_carta-cascales-villar	1634_carta-cascales-tribaldos; 1634_carta-villar-ortiz, 1634_carta-cascales-villar	text	1634
Ausonio	Ausonio	authority	
Horacio	Horacio	authority	
Tulio	Tulio	authority	
Quintiliano	Quintiliano	authority	
Marco Fabio	Marco Fabio	authority	
Tito Livio	Tito Livio	authority	
Marcial	Marcial	authority	
San Augustín	San Augustín	authority	
Virgilio	Virgilio	authority	
Catulo	Catulo	authority	
Propercio	Propercio	authority	
Tibulo	Tibulo	authority	
Ovidio	Ovidio	authority	
Nemesiano	Nemesiano	authority	
		authority	
Fracastoro	Fracastoro	authority	
Pontano	Pontano	authority	
Lucano	Lucano	authority	
Séneca	Séneca	authority	
Claudiano	Claudiano	authority	
Epigrama	Epigrama	authority	
San Jerónimo	San Jerónimo	authority	
Persio	Persio	authority	
Plinio	Plinio	authority	
Marulo	Marulo	authority	
Pedón	Pedón	authority	
Getúlico	Getúlico	authority	
Ennio	Ennio	authority	
Francisco de Cascales	Francisco de Cascales	polemista	
don Luis	don Luis	polemista	
Cornelio Galo	Cornelio Galo	authority	
Terencio	Terencio	authority	
Cicerón	Cicerón	authority	
Paulo Manucio	Paulo Manucio	authority	
Juvenal	Juvenal	authority	
Lope	Lope	polemista	
Juan Ortiz	Juan Ortiz	polemista	
don Luis de Góngora	don Luis de Góngora	polemista	
Petrarca	Petrarca	authority	
Ariosto	Ariosto	authority	
Salmonio Macrino	Salmonio Macrino	authority	
el Mantuano	el Mantuano	authority	
Homero	Homero	authority	
Polignoto	Polignoto	authority	
Estas que me dictó rimas sonoras culta sí, aunque bucólica, Talía, ¡oh excelso conde!, en las purpúreas horas que es rosa el alba y rosicler el día, en tanto que de luz tu Niebla doras, escucha al son de la zampoña mía, si ya los muros no te ven de Huelva peinar el viento, y fatigar la selva [OC255	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	ref	1612
Era del año la estación florida en que el mentido robador de Europa media luna las armas de su frente, y el sol todos los rayos de su pelo, luciente honor del cielo, en dehesas azules pace estrellas [OC264B	Era del año la estación florida [Soledad Primera]	ref	1613
