Source	Target	mode	section	date	labelSource	labelTarget	PoemTitle	PoemDate	precision	unit	quantity
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis de Góngora					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Francisco de Cascales					
1635_epistolas	Angulo y Pulgar, Martín de	polemist		1635	Angulo y Mulgar, Martín de	Martín de Angulo y Pulgar					
1635_epistolas	Vázquez Siruela, Martín	polemist		1635	Angulo y Mulgar, Martín de	Martín Vázquez Siruela					
1635_epistolas	Vázquez Siruela, Martín	polemist		1635	Angulo y Mulgar, Martín de	Martín Vázquez Siruela					
1635_epistolas	Marcial	authority		1635	Angulo y Mulgar, Martín de	Marcial					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	Luis de Góngora					
1635_epistolas	Marcial	authority		1635	Angulo y Mulgar, Martín de	Marcial					
1635_epistolas	Marcial	authority		1635	Angulo y Mulgar, Martín de	Marcial					
1635_epistolas	Marcial	authority		1635	Angulo y Mulgar, Martín de	Marcial					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Francisco de Cascales					
1635_epistolas	Angulo y Pulgar, Martín de	polemist		1635	Angulo y Mulgar, Martín de	Martín de Angulo y Pulgar					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Francisco de Cascales					
1635_epistolas	Tribaldos de Toledo, Luis	polemist		1635	Angulo y Mulgar, Martín de	Luis Tribaldos					
1635_epistolas	Villar, Francisco del	polemist		1635	Angulo y Mulgar, Martín de	Francisco del Villar					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	Luis de Góngora					
1635_epistolas	Marcial	authority		1635	Angulo y Mulgar, Martín de	Marcial					
1635_epistolas	Marcial	authority		1635	Angulo y Mulgar, Martín de	Marcial					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Adriano VI	authority		1635	Angulo y Mulgar, Martín de	Adriano VI					
1635_epistolas	Luis Vives	authority		1635	Angulo y Mulgar, Martín de	Luis Vives					
1635_epistolas	Luis Vives	authority		1635	Angulo y Mulgar, Martín de	Luis Vives					
1635_epistolas	Propercio	authority		1635	Angulo y Mulgar, Martín de	Propercio					
1635_epistolas	Propercio	authority		1635	Angulo y Mulgar, Martín de	Propercio					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Séneca	authority		1635	Angulo y Mulgar, Martín de	Séneca					
1635_epistolas	Séneca	authority		1635	Angulo y Mulgar, Martín de	Séneca					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Lipsio	authority		1635	Angulo y Mulgar, Martín de	Lipsio					
1635_epistolas	Justo Lipsio	authority		1635	Angulo y Mulgar, Martín de	Justo Lipsio					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Cornelio a Lápide	authority		1635	Angulo y Mulgar, Martín de	Cornelio a Lápide					
1635_epistolas	Martín Antonio del Río	authority		1635	Angulo y Mulgar, Martín de	Martín Antonio del Río					
1635_epistolas	Benito Pereira	authority		1635	Angulo y Mulgar, Martín de	Benito Pereira					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Filón de Alejandría	authority		1635	Angulo y Mulgar, Martín de	Filón de Alejandría					
1635_epistolas	San Jerónimo	authority		1635	Angulo y Mulgar, Martín de	San Jerónimo					
1635_epistolas	Erasmo Desiderio	authority		1635	Angulo y Mulgar, Martín de	Erasmo Desiderio					
1635_epistolas	San Agustín	authority		1635	Angulo y Mulgar, Martín de	San Agustín					
1635_epistolas	Orígenes	authority		1635	Angulo y Mulgar, Martín de	Orígenes					
1635_epistolas	Alfonso Fernández de Madrigal	authority		1635	Angulo y Mulgar, Martín de	Alfonso Fernández de Madrigal					
1635_epistolas	el Tostado	authority		1635	Angulo y Mulgar, Martín de	el Tostado					
1635_epistolas	el Abulense	authority		1635	Angulo y Mulgar, Martín de	el Abulense					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Cascales, Francisco de	polemist		1635	Angulo y Mulgar, Martín de	Cascales					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Poliziano	authority		1635	Angulo y Mulgar, Martín de	Poliziano					
1635_epistolas	Poliziano	authority		1635	Angulo y Mulgar, Martín de	Poliziano					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Bartolomé Jiménez Patón	authority		1635	Angulo y Mulgar, Martín de	Bartolomé Jiménez Patón					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	don Juan de Tassis	authority		1635	Angulo y Mulgar, Martín de	don Juan de Tassis					
1635_epistolas	conde de Villamediana	authority		1635	Angulo y Mulgar, Martín de	conde de Villamediana					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	Francisco Sánchez	authority		1635	Angulo y Mulgar, Martín de	Francisco Sánchez					
1635_epistolas	Marcial	authority		1635	Angulo y Mulgar, Martín de	Marcial					
1635_epistolas	Marcial	authority		1635	Angulo y Mulgar, Martín de	Marcial					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	Pellicer, José	polemist		1635	Angulo y Mulgar, Martín de	José Pellicer de Salas					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Garcilaso	authority		1635	Angulo y Mulgar, Martín de	Garcilaso					
1635_epistolas	Garcilaso	authority		1635	Angulo y Mulgar, Martín de	Garcilaso					
1635_epistolas	Garcilaso	authority		1635	Angulo y Mulgar, Martín de	Garcilaso					
1635_epistolas	Garcilaso	authority		1635	Angulo y Mulgar, Martín de	Garcilaso					
1635_epistolas	Garcilaso	authority		1635	Angulo y Mulgar, Martín de	Garcilaso					
1635_epistolas	Justiniano	authority		1635	Angulo y Mulgar, Martín de	Justiniano					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Persio	authority		1635	Angulo y Mulgar, Martín de	Persio					
1635_epistolas	Persio	authority		1635	Angulo y Mulgar, Martín de	Persio					
1635_epistolas	Villar, Francisco del	polemist		1635	Angulo y Mulgar, Martín de	Francisco del Villar					
1635_epistolas	Aristóteles	authority		1635	Angulo y Mulgar, Martín de	Aristóteles					
1635_epistolas	Aristóteles	authority		1635	Angulo y Mulgar, Martín de	Aristóteles					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Garcilaso	authority		1635	Angulo y Mulgar, Martín de	Garcilaso					
1635_epistolas	Garcilaso	authority		1635	Angulo y Mulgar, Martín de	Garcilaso					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	rey don Alonso	authority		1635	Angulo y Mulgar, Martín de	rey don Alonso					
1635_epistolas	Séneca	authority		1635	Angulo y Mulgar, Martín de	Séneca					
1635_epistolas	Terencio	authority		1635	Angulo y Mulgar, Martín de	Terencio					
1635_epistolas	Plauto	authority		1635	Angulo y Mulgar, Martín de	Plauto					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Lucano	authority		1635	Angulo y Mulgar, Martín de	Lucano					
1635_epistolas	Lucano	authority		1635	Angulo y Mulgar, Martín de	Lucano					
1635_epistolas	Lucrecio	authority		1635	Angulo y Mulgar, Martín de	Lucrecio					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Lucrecio	authority		1635	Angulo y Mulgar, Martín de	Lucrecio					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Justiniano	authority		1635	Angulo y Mulgar, Martín de	Justiniano					
1635_epistolas	Virgilio	authority		1635	Angulo y Mulgar, Martín de	Virgilio					
1635_epistolas	Virgilio	authority		1635	Angulo y Mulgar, Martín de	Virgilio					
1635_epistolas	Tasso	authority		1635	Angulo y Mulgar, Martín de	Tasso					
1635_epistolas	Torquato Tasso	authority		1635	Angulo y Mulgar, Martín de	Torquato Tasso					
1635_epistolas	Petrarca	authority		1635	Angulo y Mulgar, Martín de	Petrarca					
1635_epistolas	Petrarca	authority		1635	Angulo y Mulgar, Martín de	Petrarca					
1635_epistolas	Sannazaro	authority		1635	Angulo y Mulgar, Martín de	Sannazaro					
1635_epistolas	Mantuano	authority		1635	Angulo y Mulgar, Martín de	Mantuano					
1635_epistolas	Giambattista Spagnuoli Mantovano	authority		1635	Angulo y Mulgar, Martín de	Giambattista Spagnuoli Mantovano					
1635_epistolas	fray Bautista Mantuano	authority		1635	Angulo y Mulgar, Martín de	fray Bautista Mantuano					
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	OC264C	ref		1635	Angulo y Mulgar, Martín de		Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	este autor	authority		1635	Angulo y Mulgar, Martín de	este autor					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	OC131	ref		1635	Angulo y Mulgar, Martín de		Según vuelan por el agua	1602			
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Virgilio	authority		1635	Angulo y Mulgar, Martín de	Virgilio					
1635_epistolas	Virgilio	authority		1635	Angulo y Mulgar, Martín de	Virgilio					
1635_epistolas	Julio Higino	authority		1635	Angulo y Mulgar, Martín de	Julio Higino					
1635_epistolas	Gayo Julio Higinio	authority		1635	Angulo y Mulgar, Martín de	Gayo Julio Higinio					
1635_epistolas	Virgilio	authority		1635	Angulo y Mulgar, Martín de	Virgilio					
1635_epistolas	Aulo Gelio	authority		1635	Angulo y Mulgar, Martín de	Aulo Gelio					
1635_epistolas	Gelio	authority		1635	Angulo y Mulgar, Martín de	Gelio					
1635_epistolas	Higinio	authority		1635	Angulo y Mulgar, Martín de	Higinio					
1635_epistolas	Aulio Gelio	authority		1635	Angulo y Mulgar, Martín de	Aulio Gelio					
1635_epistolas	Aulio Gelio	authority		1635	Angulo y Mulgar, Martín de	Aulio Gelio					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Propercio	authority		1635	Angulo y Mulgar, Martín de	Propercio					
1635_epistolas	Propercio	authority		1635	Angulo y Mulgar, Martín de	Propercio					
1635_epistolas	Enio	authority		1635	Angulo y Mulgar, Martín de	Enio					
1635_epistolas	Quinto Enio	authority		1635	Angulo y Mulgar, Martín de	Quinto Enio					
1635_epistolas	Furio Bibáculo	authority		1635	Angulo y Mulgar, Martín de	Furio Bibáculo					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Enio	authority		1635	Angulo y Mulgar, Martín de	Enio					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Enio	authority		1635	Angulo y Mulgar, Martín de	Enio					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Demetrio	authority		1635	Angulo y Mulgar, Martín de	Demetrio					
1635_epistolas	Homero	authority		1635	Angulo y Mulgar, Martín de	Homero					
1635_epistolas	Demetrio Faléreo	authority		1635	Angulo y Mulgar, Martín de	Demetrio Faléreo					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Catulo	authority		1635	Angulo y Mulgar, Martín de	Catulo					
1635_epistolas	Catulo	authority		1635	Angulo y Mulgar, Martín de	Catulo					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	OC255	ref		1635	Angulo y Mulgar, Martín de		Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1635_epistolas	OC264A	ref		1635	Angulo y Mulgar, Martín de		Pasos de un peregrino son, errante [Dedicatoria Soledades]	1613			
1635_epistolas	OC264A	ref		1635	Angulo y Mulgar, Martín de		Pasos de un peregrino son, errante [Dedicatoria Soledades]	1613			
1635_epistolas	OC264B	ref		1635	Angulo y Mulgar, Martín de		Era del año la estación florida [Soledad Primera]	1613			
1635_epistolas	OC264C	ref		1635	Angulo y Mulgar, Martín de		Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Marcial	authority		1635	Angulo y Mulgar, Martín de	Marcial					
1635_epistolas	Marcial	authority		1635	Angulo y Mulgar, Martín de	Marcial					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Tertuliano	authority		1635	Angulo y Mulgar, Martín de	Tertuliano					
1635_epistolas	Tertuliano	authority		1635	Angulo y Mulgar, Martín de	Tertuliano					
1635_epistolas	Poliziano	authority		1635	Angulo y Mulgar, Martín de	Poliziano					
1635_epistolas	Poliziano	authority		1635	Angulo y Mulgar, Martín de	Poliziano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Góngora, Luis de	polemist		1635	Angulo y Mulgar, Martín de	don Luis					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Quintiliano	authority		1635	Angulo y Mulgar, Martín de	Quintiliano					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Ovidio	authority		1635	Angulo y Mulgar, Martín de	Ovidio					
1635_epistolas	Virgilio	authority		1635	Angulo y Mulgar, Martín de	Virgilio					
1635_epistolas	Tibulo	authority		1635	Angulo y Mulgar, Martín de	Tibulo					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
1635_epistolas	Aristóteles	authority		1635	Angulo y Mulgar, Martín de	Aristóteles					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Horacio	authority		1635	Angulo y Mulgar, Martín de	Horacio					
1635_epistolas	Ovidio	authority		1635	Angulo y Mulgar, Martín de	Ovidio					
1635_epistolas	Ovidio	authority		1635	Angulo y Mulgar, Martín de	Ovidio					
1635_epistolas	Ovidio	authority		1635	Angulo y Mulgar, Martín de	Ovidio					
1635_epistolas	Virgilio	authority		1635	Angulo y Mulgar, Martín de	Virgilio					
1635_epistolas	Virgilio	authority		1635	Angulo y Mulgar, Martín de	Virgilio					
1635_epistolas	Tibulo	authority		1635	Angulo y Mulgar, Martín de	Tibulo					
1635_epistolas	Cicerón	authority		1635	Angulo y Mulgar, Martín de	Cicerón					
