Id	Label	type	date
1635_epistolas	1635_epistolas	text	1635
Góngora, Luis de	Góngora, Luis de	polemist	
Cascales, Francisco de	Cascales, Francisco de	polemist	
Angulo y Pulgar, Martín de	Angulo y Pulgar, Martín de	polemist	
Vázquez Siruela, Martín	Vázquez Siruela, Martín	polemist	
Marcial	Marcial	authority	
Tribaldos de Toledo, Luis	Tribaldos de Toledo, Luis	polemist	
Villar, Francisco del	Villar, Francisco del	polemist	
Adriano VI	Adriano VI	authority	
Luis Vives	Luis Vives	authority	
Propercio	Propercio	authority	
Horacio	Horacio	authority	
Séneca	Séneca	authority	
Lipsio	Lipsio	authority	
Justo Lipsio	Justo Lipsio	authority	
Cornelio a Lápide	Cornelio a Lápide	authority	
Martín Antonio del Río	Martín Antonio del Río	authority	
Benito Pereira	Benito Pereira	authority	
Filón de Alejandría	Filón de Alejandría	authority	
San Jerónimo	San Jerónimo	authority	
Erasmo Desiderio	Erasmo Desiderio	authority	
San Agustín	San Agustín	authority	
Orígenes	Orígenes	authority	
Alfonso Fernández de Madrigal	Alfonso Fernández de Madrigal	authority	
el Tostado	el Tostado	authority	
el Abulense	el Abulense	authority	
Poliziano	Poliziano	authority	
Bartolomé Jiménez Patón	Bartolomé Jiménez Patón	authority	
don Juan de Tassis	don Juan de Tassis	authority	
conde de Villamediana	conde de Villamediana	authority	
Quintiliano	Quintiliano	authority	
Francisco Sánchez	Francisco Sánchez	authority	
Pellicer, José	Pellicer, José	polemist	
Garcilaso	Garcilaso	authority	
Justiniano	Justiniano	authority	
Persio	Persio	authority	
Aristóteles	Aristóteles	authority	
rey don Alonso	rey don Alonso	authority	
Terencio	Terencio	authority	
Plauto	Plauto	authority	
Cicerón	Cicerón	authority	
Lucano	Lucano	authority	
Lucrecio	Lucrecio	authority	
Virgilio	Virgilio	authority	
Tasso	Tasso	authority	
Torquato Tasso	Torquato Tasso	authority	
Petrarca	Petrarca	authority	
Sannazaro	Sannazaro	authority	
Mantuano	Mantuano	authority	
Giambattista Spagnuoli Mantovano	Giambattista Spagnuoli Mantovano	authority	
fray Bautista Mantuano	fray Bautista Mantuano	authority	
este autor	este autor	authority	
Julio Higino	Julio Higino	authority	
Gayo Julio Higinio	Gayo Julio Higinio	authority	
Aulo Gelio	Aulo Gelio	authority	
Gelio	Gelio	authority	
Higinio	Higinio	authority	
Aulio Gelio	Aulio Gelio	authority	
Enio	Enio	authority	
Quinto Enio	Quinto Enio	authority	
Furio Bibáculo	Furio Bibáculo	authority	
Demetrio	Demetrio	authority	
Homero	Homero	authority	
Demetrio Faléreo	Demetrio Faléreo	authority	
Catulo	Catulo	authority	
Tertuliano	Tertuliano	authority	
Ovidio	Ovidio	authority	
Tibulo	Tibulo	authority	
Cicerón Quintiliano	Cicerón Quintiliano	authority	
vuestra merced	vuestra merced	polemist	
Luciano	Luciano	authority	
Luciano de Samosata	Luciano de Samosata	authority	
Plutarco	Plutarco	authority	
Platón	Platón	authority	
Calderino	Calderino	authority	
san Jerónimo	san Jerónimo	authority	
Isaac Casaubon	Isaac Casaubon	authority	
san Agustín	san Agustín	authority	
Vega, Lope de	Vega, Lope de	polemist	
Sexto	Sexto	authority	
Modesto	Modesto	authority	
Clarano	Clarano	authority	
Quintiliano,	Quintiliano,	authority	
Pietro Bembo	Pietro Bembo	authority	
Paravicino	Paravicino	authority	
don Luis	don Luis	authority	
		polemista	
Octaviano Mirándula	Octaviano Mirándula	authority	
Quevedo, Francisco de	Quevedo, Francisco de	polemist	
Díaz de Rivas, Pedro de	Díaz de Rivas, Pedro de	polemist	
Claudiano	Claudiano	authority	
Escalígero	Escalígero	authority	
Farnesio	Farnesio	authority	
Calepino	Calepino	authority	
Enrique Farnesio	Enrique Farnesio	authority	
Tolomeo Español	Tolomeo Español	authority	
Tolomeo	Tolomeo	authority	
Spagnuoli	Spagnuoli	authority	
Corolarium de licentiis antiquorum poetarum	Corolarium de licentiis antiquorum poetarum	authority	
Ultima pars operis	Ultima pars operis	authority	
Tolomeo Spagnuoli	Tolomeo Spagnuoli	authority	
Eritreo	Eritreo	authority	
Niccolo Eritreo	Niccolo Eritreo	authority	
Juan de Mena	Juan de Mena	authority	
Herrera	Herrera	authority	
Mena	Mena	authority	
duque de Sessa	duque de Sessa	authority	
conde de Lemos	conde de Lemos	authority	
Castro	Castro	authority	
Villamediana	Villamediana	authority	
marqués de Ayamonte	marqués de Ayamonte	authority	
príncipe de Esquilache	príncipe de Esquilache	authority	
Valencia, Pedro de	Valencia, Pedro de	polemist	
Agustín Collado	Agustín Collado	authority	
Lorenzo Ramírez de Prado	Lorenzo Ramírez de Prado	authority	
Hortensio Félix	Hortensio Félix	authority	
Ponce, Manuel	Ponce, Manuel	polemist	
Luis de Cabrera	Luis de Cabrera	authority	
Fernández de Córdoba, Francisco de	Fernández de Córdoba, Francisco de	polemist	
Amaya, Francisco de	Amaya, Francisco de	polemist	
Tejada	Tejada	authority	
Aguilar	Aguilar	authority	
Juan de Vera	Juan de Vera	authority	
Juan de Arguijo	Juan de Arguijo	authority	
Céspedes	Céspedes	authority	
Ledesma	Ledesma	authority	
Tomás Tamayo de Vargas	Tomás Tamayo de Vargas	authority	
Mateo de Rivas	Mateo de Rivas	authority	
Rojas	Rojas	authority	
Babia	Babia	authority	
Romero	Romero	authority	
Chavarría	Chavarría	authority	
Soto de Rojas	Soto de Rojas	authority	
Meneses	Meneses	authority	
Morales	Morales	authority	
OC255	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	ref	1612
OC264C	Éntrase el mar por un arroyo breve [Soledad Segunda]	ref	1614
OC131	Según vuelan por el agua	ref	1602
OC264A	Pasos de un peregrino son, errante [Dedicatoria Soledades]	ref	1613
OC264B	Era del año la estación florida [Soledad Primera]	ref	1613
OC313	Si arrebatado merecí algún día	ref	1617
OC72	Levanta, España, tu famosa diestra	ref	1588
OC238	Máquina funeral, que desta vida	ref	1611
OC241	En esta, que admiráis, de piedras graves	ref	1611
OC308	Piadoso hoy celo, culto	ref	1616
OC145	Sobre trastes de guijas	ref	1603
OC132	En un pastoral albergue	ref	1602
OC230	Aunque entiendo poco griego	ref	1610
OC317	La ciudad de Babilonia,	ref	1618
OC282	De la semilla, caída	ref	1614
OC370	Aprended, Flores, en mí	ref	1621
OC447	Arroyo, ¿en qué ha de parar	ref	¿1612?
OC146	Abra dorada llave	ref	1603
OC410	Las duras cerdas que vistió celoso	ref	1625
OC416	Generoso mancebo,	ref	1626
OC1	Suene la trompa bélica	ref	1580
OC165	Verde el cabello undoso	ref	1606
OC256	Por este culto bien nacido prado	ref	1612
OC274	A la pendiente cuna	ref	1614
OC223	En roscas de cristal serpiente breve	ref	1610
