Id	Label	type	date
1636_ilustracion1	1636_ilustracion1	text	1636
San Agustín	San Agustín	authority
príncipe de los poetas latinos	príncipe de los poetas latinos	authority
Herodoto	Herodoto	authority
San Jerónimo	San Jerónimo	authority
Jenofonte	Jenofonte	authority
Tolomeo	Tolomeo	authority
Pomponio Mela	Pomponio Mela	authority
Isaías	Isaías	authority
Plutarco	Plutarco	authority
Quinto Curtio	Quinto Curtio	authority
Diodoro	Diodoro	authority
Justino	Justino	authority
Solino	Solino	authority
Estrabón	Estrabón	authority
Ovidio	Ovidio	authority
Propercio	Propercio	authority
Ammiano Marcelino	Ammiano Marcelino	authority
Luis Vives	Luis Vives	authority
Josefo	Josefo	authority
Eusebio	Eusebio	authority
Marcelino	Marcelino	authority
San Basilio	San Basilio	authority
San Ambrosio	San Ambrosio	authority
San Crisóstomo,	San Crisóstomo,	authority
Lucano,	Lucano,	authority
Plinio	Plinio	authority
Vitruvio	Vitruvio	authority
Constantino Manasés	Constantino Manasés	authority
Eutropio	Eutropio	authority
Suetonio Tranquilo	Suetonio Tranquilo	authority
Quinto Curcio	Quinto Curcio	authority
Sidonio Apolinar	Sidonio Apolinar	authority
Marcial	Marcial	authority
Lucano	Lucano	authority
Juvenal	Juvenal	authority
Juan de Mena	Juan de Mena	authority
Claudiano	Claudiano	authority
Horacio	Horacio	authority
Virgilio	Virgilio	authority
Garcilaso de la Vega	Garcilaso de la Vega	authority
Arnobio	Arnobio	authority
Fornuto	Fornuto	authority
Heraclides Póntico	Heraclides Póntico	authority
Apolodoro	Apolodoro	authority
Eumelo	Eumelo	authority
Enio,	Enio,	authority
Tibulo	Tibulo	authority
Servio	Servio	authority
Varrón	Varrón	authority
Zezes gramático	Zezes gramático	authority
Lelio	Lelio	authority
Piero Valeriano	Piero Valeriano	authority
Pausanias	Pausanias	authority
Lilio Gregorio Giraldo	Lilio Gregorio Giraldo	authority
Acursio	Acursio	authority
Séneca	Séneca	authority
Lorenzo Ramírez de Prado	Lorenzo Ramírez de Prado	authority
Terencio	Terencio	authority
Ariosto	Ariosto	authority
Laberio	Laberio	authority
Marco Antonio Sabelico	Marco Antonio Sabelico	authority
Plauto	Plauto	authority
Cicerón	Cicerón	authority
Pomponio	Pomponio	authority
aquel Oráculo	aquel Oráculo	authority
Tristes	Tristes	authority
Pontano	Pontano	authority
Marullus	Marullus	authority
Tiraquelo	Tiraquelo	authority
Pichardo	Pichardo	authority
Gerónimo Mercurial	Gerónimo Mercurial	authority
Mercurial	Mercurial	authority
Esquilo	Esquilo	authority
Ateneo	Ateneo	authority
Sófocles	Sófocles	authority
Beritio	Beritio	authority
Diófanes	Diófanes	authority
Paladio	Paladio	authority
Juan Bautista la Porta	Juan Bautista la Porta	authority
Apuleyo	Apuleyo	authority
San Isidoro	San Isidoro	authority
