Id	Label	type	date
1636_ilustracion2	1636_ilustracion2	text	1636
Horacio	Horacio	authority	
Virgilio	Virgilio	authority	
Ovidio	Ovidio	authority	
Marcial	Marcial	authority	
Garcilaso	Garcilaso	authority	
Mecencio	Mecencio	authority	
Figueroa	Figueroa	authority	
Propercio	Propercio	authority	
Séneca	Séneca	authority	
Persio	Persio	authority	
Catullo	Catullo	authority	
Catulo	Catulo	authority	
Enio	Enio	authority	
Orfeo	Orfeo	authority	
Valeriano Flaco	Valeriano Flaco	authority	
Plinio	Plinio	authority	
Pomponio Mela	Pomponio Mela	authority	
Strabonio	Strabonio	authority	
Ennio	Ennio	authority	
Estacio	Estacio	authority	
Valerio Flaco	Valerio Flaco	authority	
Diodoro Siculo	Diodoro Siculo	authority	
Euripide	Euripide	authority	
Seneca	Seneca	authority	
Apolonio Rodio	Apolonio Rodio	authority	
Ofero	Ofero	authority	
Boecio	Boecio	authority	
Calístrato	Calístrato	authority	
Varrón	Varrón	authority	
Mimdempdorpio	Mimdempdorpio	authority	
Domitio Caldorino	Domitio Caldorino	authority	
Alciato	Alciato	authority	
Lamprid	Lamprid	authority	
C. Petronio	C. Petronio	authority	
Cornelio Tacito	Cornelio Tacito	authority	
Justiniano	Justiniano	authority	
Lucrecio	Lucrecio	authority	
Tulio	Tulio	authority	
Plauto	Plauto	authority	
Attio	Attio	authority	
Terencio	Terencio	authority	
Príncipe de los poetas castellanos	Príncipe de los poetas castellanos	authority	
Juvenal	Juvenal	authority	
Ioan Merusio	Ioan Merusio	authority	
Escholiaster de Cedreno	Escholiaster de Cedreno	authority	
Juan Luis de la Cerda	Juan Luis de la Cerda	authority	
Agustín Barbosa	Agustín Barbosa	authority	
Lipsio	Lipsio	authority	
Blesensis	Blesensis	authority	
Ioan Meurio	Ioan Meurio	authority	
Ludovico D’Orleans	Ludovico D’Orleans	authority	
Ioannes Andreas	Ioannes Andreas	authority	
Alexandro	Alexandro	authority	
Marino	Marino	authority	
Oracio	Oracio	authority	
Justo Lipsio	Justo Lipsio	authority	
Luciano	Luciano	authority	
Plutarco	Plutarco	authority	
Pontano	Pontano	authority	
Scaligero	Scaligero	authority	
Hortensio Félix Paravicino	Hortensio Félix Paravicino	authority	
ingeniosísimo Nasón	ingeniosísimo Nasón	authority	
Marco Tulio Ciceron	Marco Tulio Ciceron	authority	
Tiraquel	Tiraquel	authority	
Petronio	Petronio	authority	
Suetón	Suetón	authority	
Cornelio Tácito	Cornelio Tácito	authority	
Cicerón	Cicerón	authority	
Apuleyo	Apuleyo	authority	
Gellio	Gellio	authority	
Lucano	Lucano	authority	
Sófocles	Sófocles	authority	
San Geronimo	San Geronimo	authority	
Cinna	Cinna	authority	
Solino	Solino	authority	
Schotto	Schotto	authority	
Simmacho	Simmacho	authority	
Isidoro	Isidoro	authority	
Aeliano	Aeliano	authority	
Martín del Río	Martín del Río	authority	
