Id	Label	type	date
		text	
Luis de Góngora	Luis de Góngora	polemista	
Laguna, Andrés	Laguna, Andrés	authority	
Tasis y Peralta, Juan de	Tasis y Peralta, Juan de	authority	
Roiz Lobo, Francisco	Roiz Lobo, Francisco	authority	
Cicerón	Cicerón	authority	
Barros, João de	Barros, João de	authority	
Laguna, Andrés de	Laguna, Andrés de	authority	
Camões	Camões	authority	
don Luis de Góngora	don Luis de Góngora	polemista	
Sannazaro	Sannazaro	authority	
Vega, Lope de	Vega, Lope de	authority	
un comentador	un comentador	polemista	
Luis de Gongora	Luis de Gongora	polemista	
Comentador	Comentador	polemista	
autor del libro	autor del libro	polemista	
don Luis	don Luis	polemista	
Autor	Autor	polemista	
don Luis de Gongora	don Luis de Gongora	polemista	
Virgilio	Virgilio	authority	
Homero	Homero	authority	
Herrera, Fernando de	Herrera, Fernando de	authority	
Estacio	Estacio	authority	
Dante	Dante	authority	
Lucrecio	Lucrecio	authority	
Tasso, Torquato	Tasso, Torquato	authority	
Valeriano, Piero	Valeriano, Piero	authority	
Propercio	Propercio	authority	
el Poeta	el Poeta	polemista	
Platón	Platón	authority	
Petrarca	Petrarca	authority	
Ariosto, Ludovico	Ariosto, Ludovico	authority	
Garcilaso	Garcilaso	authority	
Mena, Juan de	Mena, Juan de	authority	
Boscán	Boscán	authority	
Gómez Manrique, Diego	Gómez Manrique, Diego	authority	
Don Luis	Don Luis	polemista	
Macrobio	Macrobio	authority	
los que le aplauden adonde no lo merece	los que le aplauden adonde no lo merece	polemista	
Mahoma de la poesía	Mahoma de la poesía	polemista	
sus secuaces	sus secuaces	polemista	
sus devotos	sus devotos	polemista	
Góngora	Góngora	polemista	
Marcial	Marcial	authority	
Aracne	Aracne	authority	
Palas	Palas	authority	
Marsias	Marsias	authority	
Apolo	Apolo	authority	
Ovidio	Ovidio	authority	
Horacio	Horacio	authority	
Montemayor, Jorge de	Montemayor, Jorge de	authority	
Don Luis de Góngora	Don Luis de Góngora	polemista	
López Pinciano, Alonso	López Pinciano, Alonso	authority	
