Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate	precision	unit	quantity
1660_apologetico	Manuel de Faría y Sousa	polemista	anteportada	1660	Juan de Espinosa Medrano					
1660_apologetico	Juan de Espinosa Medrano	polemista	anteportada	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	portada	1660	Juan de Espinosa Medrano					
1660_apologetico	Juan de Espinosa Medrano	polemista	portada	1660	Juan de Espinosa Medrano					
1660_apologetico	Gregorio Nacianceno	authority	portada	1660	Juan de Espinosa Medrano					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar1	1661	fray Gonzalo Tenorio					
1660_apologetico	Luis de Góngora	polemista	preliminar1	1661	fray Gonzalo Tenorio					
1660_apologetico	Luis de Góngora	polemista	preliminar3	1661	Juan de Montalvo					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar3	1661	Juan de Montalvo					
1660_apologetico	San Basilio	authority	preliminar3	1661	Juan de Montalvo					
1660_apologetico	Teodoreto	authority	preliminar3	1661	Juan de Montalvo					
1660_apologetico	San Jerónimo	authority	preliminar3	1661	Juan de Montalvo					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar4	1661	Pedro de Villagómez					
1660_apologetico	Luis de Góngora	polemista	preliminar5	1661	fray Fulgencio Maldonado					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar5	1661	fray Fulgencio Maldonado					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar5	1661	fray Fulgencio Maldonado					
1660_apologetico	Manuel de Faría y Sousa	polemista	preliminar5	1661	fray Fulgencio Maldonado					
1660_apologetico	Virgilio	authority	preliminar5	1661	fray Fulgencio Maldonado					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar6	1660	Alonso Bravo de Paredes y Quiñones					
1660_apologetico	Séneca	authority	preliminar6	1660	Alonso Bravo de Paredes y Quiñones					
1660_apologetico	Claudiano	authority	preliminar6	1660	Alonso Bravo de Paredes y Quiñones					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar6	1660	Alonso Bravo de Paredes y Quiñones					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar6	1660	Alonso Bravo de Paredes y Quiñones					
1660_apologetico	Luis de Góngora	polemista	preliminar6	1660	Alonso Bravo de Paredes y Quiñones					
1660_apologetico	Manuel de Faría y Sousa	polemista	preliminar6	1660	Alonso Bravo de Paredes y Quiñones					
1660_apologetico	Luis de Góngora	polemista	preliminar6	1660	Alonso Bravo de Paredes y Quiñones					
1660_apologetico	Luis de Góngora	polemista	preliminar6	1660	Alonso Bravo de Paredes y Quiñones					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar6	1660	Alonso Bravo de Paredes y Quiñones					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar6	1660	Alonso Bravo de Paredes y Quiñones					
1660_apologetico	Luis de Góngora	polemista	preliminar6	1660	Alonso Bravo de Paredes y Quiñones					
1660_apologetico	Luis de Góngora	polemista	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Manuel de Faría y Sousa	polemista	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Luis de Góngora	polemista	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Marcial	authority	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Luis de Góngora	polemista	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Manuel de Faría y Sousa	polemista	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Luis de Góngora	polemista	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Manuel de Faría y Sousa	polemista	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Luis de Góngora	polemista	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Marcial	authority	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Manuel de Faría y Sousa	polemista	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Luis de Góngora	polemista	preliminar7	1660	fray Miguel de Quiñones					
1660_apologetico	Luis de Góngora	polemista	preliminar9	1661	Francisco de Valverde Maldonado y Jaraba					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar9	1661	Francisco de Valverde Maldonado y Jaraba					
1660_apologetico	Manuel de Faría y Sousa	polemista	preliminar9	1661	Francisco de Valverde Maldonado y Jaraba					
1660_apologetico	Manuel de Faría y Sousa	polemista	preliminar10	1661	Diego de Loaysa y Zárate					
1660_apologetico	Luis de Góngora	polemista	preliminar10	1661	Diego de Loaysa y Zárate					
1660_apologetico	Luis de Góngora	polemista	preliminar10	1661	Diego de Loaysa y Zárate					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar10	1661	Diego de Loaysa y Zárate					
1660_apologetico	OC255	ref	preliminar10	1661	Diego de Loaysa y Zárate	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612			
1660_apologetico	OC264C	ref	preliminar11	1661	Bernabé Gascón Riquelme	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar11	1661	Bernabé Gascón Riquelme					
1660_apologetico	OC264A	ref	preliminar11	1661	Bernabé Gascón Riquelme	Pasos de un peregrino son, errante [Dedicatoria Soledades]	1613			
1660_apologetico	Santo Tomás	authority	preliminar12	1661	Juan de Lira					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar12	1661	Juan de Lira					
1660_apologetico	Juan de Espinosa Medrano	polemista	preliminar13	1661	Francisco López Mejía					
1660_apologetico	Manuel de Faría y Sousa	polemista	preliminar13	1661	Francisco López Mejía					
1660_apologetico	García de Salcedo Coronel	polemista	preliminar15	1661	Juan de Espinosa Medrano					
1660_apologetico	OC313	ref	preliminar15	1661	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617			
1660_apologetico	OC264A	ref	preliminar15	1661	Juan de Espinosa Medrano	Pasos de un peregrino son, errante [Dedicatoria Soledades]	1613			
1660_apologetico	OC313	ref	preliminar15	1661	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617			
1660_apologetico	García de Salcedo Coronel	polemista	preliminar15	1661	Juan de Espinosa Medrano					
1660_apologetico	OC264C	ref	preliminar15	1661	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1660_apologetico	OC264C	ref	preliminar15	1661	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614			
1660_apologetico	Luis de Góngora	polemista	preliminar16	1661	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	preliminar16	1661	Juan de Espinosa Medrano					
1660_apologetico	Luis de Góngora	polemista	preliminar16	1661	Juan de Espinosa Medrano					
1660_apologetico	Alciato	authority	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Gilberto Cognato	authority	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Gilberto Cognato	authority	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Melanctón	authority	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Erasmo	authority	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Vatablo	authority	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Escalígero	authority	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Laurencio Vala	authority	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Luis Vives	authority	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	San Isidoro Hispalense	authority	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	García de Loayza	authority	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Luis de Góngora	polemista	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Camoens	authority	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Luis de Góngora	polemista	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Manuel de Faría y Sousa	polemista	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Luis de Góngora	polemista	seccion1	1660	Juan de Espinosa Medrano					
1660_apologetico	Camoens	authority	seccion1	1660	Juan de Espinosa Medrano					
